precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
35,SUCEAVA,"CĂMINUL CULTURAL POIANA NEGRII",287,"DORNA CANDRENILOR",148202,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:21:29",776,756,2,5,13,563,544,1,5,13,542,21,800,237,57,143,316,26
35,SUCEAVA,"PRIMĂRIA COMUNEI DORNA CANDRENILOR",286,"DORNA CANDRENILOR",148202,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:17:47",1708,1684,0,9,15,1076,1052,0,9,15,1059,17,1927,851,54,181,781,43
