precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi"
28,MUREŞ,"CĂMINUL CULTURAL MIHEȘU DE CÎMPIE",455,"MIHEŞU DE CÂMPIE",118370,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:11:19",1272,1195,1,42,34,890,813,1,42,34,857,33,1286,396,48,336,29,444
28,MUREŞ,"CĂMINUL CULTURAL RĂZOARE",456,"MIHEŞU DE CÂMPIE",118370,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:50:26",678,623,0,36,19,440,385,0,36,19,422,18,674,234,17,279,2,124
