precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"TUDOR FLOREA-PARTIDUL NAȚIONAL LIBERAL-voturi","TUDOR DANIEL-PARTIDUL SOCIAL DEMOCRAT-voturi","ILIE CONSTANTIN-PARTIDUL S.O.S. ROMÂNIA-voturi"
30,OLT,"GRADINITA CONSTANTINESTI",115,"ORAŞ SCORNICEŞTI",128711,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:45:10",439,421,2,13,3,326,309,1,13,3,313,13,468,142,3,305,5
30,OLT,"GRADINITA MOGOSESTI",118,"ORAŞ SCORNICEŞTI",128711,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:29:45",441,416,1,19,5,291,267,0,19,5,284,7,465,174,8,263,13
30,OLT,"GRADINITA ȘUICA",120,"ORAŞ SCORNICEŞTI",128711,1,PROV,PRCNCT,P,P_SV,"2024-06-10 00:41:59",195,175,0,15,5,153,133,0,15,5,152,1,199,46,2,150,0
30,OLT,"GRADINITA TEIUS",121,"ORAŞ SCORNICEŞTI",128711,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:17:53",464,449,3,7,5,324,311,1,7,5,320,4,499,174,9,303,8
30,OLT,"GRUPUL SCOLAR AGRICOL SCORNICEŞTI",111,"ORAŞ SCORNICEŞTI",128711,1,PROV,PRCNCT,P,P_SV,"2024-06-10 11:10:12",1673,1638,3,27,5,1007,975,0,27,5,980,27,1855,848,50,894,36
30,OLT,JITARU,116,"ORAŞ SCORNICEŞTI",128711,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:09:37",873,832,4,31,6,645,607,1,31,6,633,12,915,270,8,617,8
30,OLT,"SCOALA GEN.CLASELE I-VIII SCORNICESTI",112,"ORAŞ SCORNICEŞTI",128711,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:00:07",1920,1875,0,35,10,1156,1111,0,35,10,1129,27,2119,963,40,1039,50
30,OLT,"SCOALA GENERALA CHIȚEASCA",114,"ORAŞ SCORNICEŞTI",128711,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:39:45",414,383,0,29,2,325,294,0,29,2,313,12,432,107,11,293,9
30,OLT,"SCOALA GENERALA MĂRGINENI",117,"ORAŞ SCORNICEŞTI",128711,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:12:40",1486,1362,2,95,27,1231,1107,2,95,27,1201,30,1639,408,52,1124,25
30,OLT,"SCOALA GENERALA NEGRENI",119,"ORAŞ SCORNICEŞTI",128711,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:32:24",969,949,1,17,2,659,640,0,17,2,633,26,1043,384,18,577,38
30,OLT,"SCOALA GENERLA BIRCII",113,"ORAŞ SCORNICEŞTI",128711,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:28:33",920,866,3,45,6,698,647,0,45,6,677,21,975,277,50,608,19
