precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi"
35,SUCEAVA,"CASA DE CULTURĂ LITENI",165,"ORAŞ LITENI",149227,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:01:12",1756,1741,0,10,5,794,779,0,10,5,774,20,1920,1126,104,99,533,38
35,SUCEAVA,"CORPUL A LICEUL TEHNOLOGIC IORGU VÂRNAV LITEANU LITENI",167,"ORAŞ LITENI",149227,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:14:49",984,976,0,6,2,446,438,0,6,2,436,10,1082,636,38,61,302,35
35,SUCEAVA,"CORPUL III LICEUL TEHNOLOGIC IORGU VÂRNAV LITEANU LITENI",166,"ORAŞ LITENI",149227,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:26:39",1318,1304,0,9,5,637,623,0,9,5,617,20,1445,808,92,84,412,29
35,SUCEAVA,"ŞCOALA GIMNAZIALĂ CORNI",168,"ORAŞ LITENI",149227,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:14:13",605,599,0,6,0,283,277,0,6,0,276,7,660,377,54,43,136,43
35,SUCEAVA,"ŞCOALA GIMNAZIALĂ NR. 1 ROTUNDA",170,"ORAŞ LITENI",149227,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:24:36",1141,1133,0,6,2,523,515,0,6,2,497,26,1250,727,82,29,368,18
35,SUCEAVA,"ŞCOALA GIMNAZIALĂ ROŞCANI",169,"ORAŞ LITENI",149227,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:12:43",1016,1009,0,7,0,452,445,0,7,0,429,23,1116,664,80,70,257,22
35,SUCEAVA,"ŞCOALA GIMNAZIALĂ SILIŞTEA",172,"ORAŞ LITENI",149227,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 01:25:19",639,629,0,9,1,236,226,0,9,1,234,2,694,458,38,26,161,9
35,SUCEAVA,"ŞCOALA PRIMARĂ NR. 2 ROTUNDA",171,"ORAŞ LITENI",149227,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:54:52",753,747,0,6,0,323,317,0,6,0,304,19,826,503,62,19,220,3
