precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
13,CLUJ,"CAMINUL CULTURAL CEANU MIC , NR.184",645,TURENI,59764,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:22:42",321,310,0,9,2,146,135,0,9,2,133,13,345,199,4,23,83,23
13,CLUJ,"PRIMARIA COMUNEI TURENI , NR. 243",644,TURENI,59764,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:37:34",804,769,2,19,14,553,520,0,19,14,533,20,853,300,178,160,175,20
13,CLUJ,"SCOALA CU CLS. I-IV COMSESTI , NR.111",646,TURENI,59764,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:53:52",191,184,0,7,0,137,130,0,7,0,125,12,204,67,18,31,73,3
13,CLUJ,"SCOALA CU CLS. I-IV MĂRTINEŞTI ,NR.60",647,TURENI,59764,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:30:39",323,309,1,13,0,203,190,0,13,0,157,26,343,160,16,37,92,12
13,CLUJ,"SCOALA CU CLS. I - IV MICESTI , NR.57",648,TURENI,59764,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:14:51",213,197,0,16,0,131,115,0,16,0,130,1,217,86,8,45,55,22
