precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA UCRAINENILOR DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
38,TULCEA,"CENTRU MULTIFUNCTIONAL CATALOI",118,FRECĂŢEI,160387,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 18:47:42",605,562,0,26,17,605,562,0,26,17,583,21,1110,506,115,5,337,68,11,6,8,33
38,TULCEA,"COLEGIUL ECONOMIC ” DELTA DUNĂRII”",39,"MUNICIPIUL TULCEA",159614,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:25:44",983,976,0,7,0,373,366,0,7,0,366,7,1079,706,81,4,130,77,16,21,2,35
38,TULCEA,"COLEGIUL ECONOMIC ” DELTA DUNĂRII”",38,"MUNICIPIUL TULCEA",159614,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:12:07",1214,1202,6,6,0,476,470,0,6,0,460,16,1332,856,162,7,103,96,21,31,3,37
38,TULCEA,"COLEGIUL NAȚIONAL ”SPIRU HARET”",44,"MUNICIPIUL TULCEA",159614,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 12:22:44",1712,1705,2,5,0,686,681,0,5,0,666,20,1918,1232,171,14,235,120,37,49,5,35
38,TULCEA,"CONSILIUL LOCAL",181,"SLAVA CERCHEZĂ",161259,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 16:33:04",979,936,0,30,13,480,437,0,30,13,429,51,1049,569,231,3,124,47,2,3,0,19
38,TULCEA,"GARAJE, SPAȚII DE DEPOZITARE ȘI BIROURI ALE CONSILIULUI JUDEȚEAN TULCEA",22,"MUNICIPIUL TULCEA",159614,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:45:48",1712,1701,2,9,0,676,667,0,9,0,655,21,1905,1229,191,13,216,101,43,49,4,38
38,TULCEA,"GRĂDINIŢA ”CONSTANTIN BRĂTESCU”",62,"ORAŞ ISACCEA",159687,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:49:28",1298,1287,0,1,10,719,708,0,1,10,700,8,1412,704,175,7,181,272,3,27,7,28
38,TULCEA,"GRĂDINIŢA CU PROGRAM NORMAL",167,NICULIŢEL,161035,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:12:37",1196,1192,0,1,3,542,538,0,1,3,512,26,1314,776,92,6,219,105,2,63,3,22
38,TULCEA,"GRĂDINIȚA CU PROGRAM NORMAL",109,CIUCUROVA,160225,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:41:07",404,400,0,4,0,208,204,0,4,0,196,12,441,233,94,7,64,20,2,4,0,5
38,TULCEA,"GRĂDINIȚA CU PROGRAM NORMAL",128,HORIA,160528,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:53:24",838,792,1,8,37,527,482,0,8,37,511,16,833,306,38,7,281,139,6,11,8,21
38,TULCEA,"GRĂDINIȚA CU PROGRAM NORMAL",126,HAMCEARCA,160476,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:36:04",303,253,0,38,12,248,198,0,38,12,240,8,294,46,76,0,131,19,2,5,0,7
38,TULCEA,"GRĂDINIȚA CU PROGRAM NORMAL",127,HAMCEARCA,160476,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:43:45",508,478,0,18,12,338,308,0,18,12,315,23,538,200,86,0,159,62,1,2,3,2
