precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CRISTEA AURELIA-PARTIDUL SOCIAL DEMOCRAT-voturi","COZMA CĂLIN-VALENTIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","OLÁH EMESE-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","BOC EMIL-PARTIDUL NAȚIONAL LIBERAL-voturi","NAŞ SORIN-VALERIU-PARTIDUL S.O.S. ROMÂNIA-voturi","IACOB DAN-MIHAI-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","BĂLTĂREŢU VIOREL-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","STRUGARIU RAMONA-VICTORIA-PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","SĂRMAŞ IOAN-SABIN-voturi","VAMOŞ SORIN-VIRGIL-voturi"
13,CLUJ,"ASOCIAŢIA ”CARITATEA”",57,"MUNICIPIUL CLUJ-NAPOCA",54975,2,PART,PRCNCT,P,P_SV,"2024-06-10 14:42:25",1192,1089,88,15,0,667,652,0,15,0,660,7,1301,634,23,15,25,229,2,3,82,23,255,3
13,CLUJ,"CENTRUL REGIONAL DE EXCELENŢĂ,",35,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:40:02",1565,1532,26,7,0,723,715,1,7,0,711,12,1719,996,25,14,108,245,10,4,73,26,203,3
13,CLUJ,"COLEGIUL DE MUZICĂ ”SIGISMUND TODUŢĂ” (FOSTUL GRUP SCOLAR DE MATERIAL RULANT- UNIREA)",136,"MUNICIPIUL CLUJ-NAPOCA",54975,2,PART,PRCNCT,P,P_SV,"2024-06-10 12:16:16",1568,1545,10,13,0,747,734,0,13,0,743,4,1719,972,32,35,58,323,6,3,43,15,222,6
13,CLUJ,"COLEGIUL DE MUZICĂ ”SIGISMUND TODUŢĂ” (FOSTUL GRUP SCOLAR DE MATERIAL RULANT- UNIREA)",137,"MUNICIPIUL CLUJ-NAPOCA",54975,3,PART,PRCNCT,P,P_SV,"2024-06-10 12:27:48",947,911,22,13,1,434,418,2,13,1,433,1,1040,606,16,7,56,178,3,1,23,19,129,1
13,CLUJ,"COLEGIUL ECONOMIC ”IULIAN POP”",1,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:44:35",1056,1048,0,8,0,30,22,0,8,0,28,2,1722,1692,3,3,5,10,1,0,1,1,4,0
13,CLUJ,"COLEGIUL ECONOMIC ”IULIAN POP”",2,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:12:42",1147,1069,71,6,1,471,464,0,6,1,466,5,1666,1195,20,18,76,169,5,3,19,13,139,4
13,CLUJ,"COLEGIUL NAŢIONAL ”GEORGE COŞBUC”",67,"MUNICIPIUL CLUJ-NAPOCA",54975,2,PART,PRCNCT,P,P_SV,"2024-06-10 11:44:20",1105,1078,12,14,1,561,546,0,14,1,558,3,1221,660,35,21,48,192,1,4,54,19,182,2
13,CLUJ,"COLEGIUL NAŢIONAL ”GEORGE COŞBUC”",68,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:03:32",1214,1143,35,16,20,527,492,0,16,19,523,4,1319,792,34,29,38,200,10,1,42,21,144,4
13,CLUJ,"COLEGIUL NAŢIONAL ”GEORGE COŞBUC”",69,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:31:03",890,875,8,7,0,422,415,0,7,0,416,6,881,459,24,14,63,156,2,3,28,11,107,8
13,CLUJ,"COLEGIUL NAȚIONAL „GHEORGHE ȘINCAI”",75,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:45:50",1346,1330,9,7,0,635,628,0,7,0,620,15,1484,849,35,18,36,262,2,4,47,23,189,4
