precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
31,PRAHOVA,"GRĂDINIŢA CU PROGRAM PRELUNGIT",182,"ORAŞ AZUGA",130954,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:06:25",1012,989,0,20,3,613,590,0,20,3,580,33,1100,487,37,266,185,55,37
31,PRAHOVA,"LICEUL TEORETIC AZUGA",181,"ORAŞ AZUGA",130954,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:06:13",1636,1613,0,15,8,1005,982,0,15,8,940,36,1800,800,89,307,377,101,66
31,PRAHOVA,"SALǍ DE SPORT CU TRIBUNǍ 180 LOCURI",183,"ORAŞ AZUGA",130954,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:19:01",1154,1132,0,19,3,720,698,0,19,3,696,24,1300,580,65,234,245,69,83
