precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"SĂRMĂŞAN ANDREI-CĂLIN-PARTIDUL SOCIAL DEMOCRAT-voturi","RĂDIŢOIU FLAVIU-LUCIAN-UNIUNEA SALVAȚI ROMÂNIA-voturi","SCÂNTEIE GHEORGHE-DORIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","TEBAN ADRIAN-OVIDIU-PARTIDUL NAȚIONAL LIBERAL-voturi"
1,ALBA,"CENTRUL CULTURAL ”VALENTIN URITESCU” AL ORAŞULUI CUGIR",145,"ORAŞ CUGIR",1696,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:34:00",1260,1247,1,10,2,562,550,0,10,2,554,8,1400,838,110,70,37,337
1,ALBA,"COLEGIUL NAŢIONAL ”DAVID PRODAN” CUGIR",138,"ORAŞ CUGIR",1696,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:55:44",1014,1002,2,10,0,418,407,1,10,0,408,10,1100,682,101,47,27,233
1,ALBA,"COLEGIUL NAŢIONAL ”DAVID PRODAN” CUGIR",139,"ORAŞ CUGIR",1696,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:26:43",996,987,3,5,1,406,400,0,5,1,399,7,1100,694,96,92,19,192
1,ALBA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”PITICOT” CUGIR",146,"ORAŞ CUGIR",1696,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:55:02",1133,1127,1,5,0,506,501,0,5,0,498,8,1300,794,104,67,30,297
1,ALBA,"LICEUL TEHNOLOGIC „ION D.LĂZĂRESCU” CUGIR",144,"ORAŞ CUGIR",1696,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:03:58",979,970,2,5,2,369,361,1,5,2,360,9,1100,731,90,60,33,177
1,ALBA,"ŞCOALA GIMNAZIALĂ ”IOAN MIHU” VINEREA",154,"ORAŞ CUGIR",1696,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:46:02",911,903,3,5,0,505,500,0,5,0,496,9,1000,495,65,19,24,388
1,ALBA,"ȘCOALA GIMNAZIALĂ IOAN MIHU - VINEREA",153,"ORAŞ CUGIR",1696,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:25:26",1045,1044,0,0,1,544,543,0,0,1,528,16,1186,642,76,32,17,403
1,ALBA,"ŞCOALA GIMNAZIALĂ ”IOSIF PERVAIN” CUGIR",148,"ORAŞ CUGIR",1696,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:38:09",1093,1085,2,5,1,537,531,0,5,1,527,10,1200,663,141,56,41,289
1,ALBA,"ŞCOALA GIMNAZIALĂ ”IOSIF PERVAIN” CUGIR",147,"ORAŞ CUGIR",1696,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:01:27",999,984,3,11,1,448,436,0,11,1,439,9,1108,660,135,37,24,243
1,ALBA,"ȘCOALA GIMNAZIALĂ IOSIF PERVAIN CUGIR",149,"ORAŞ CUGIR",1696,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:25:01",1101,1098,0,3,0,465,462,0,3,0,452,13,1200,735,135,74,27,216
1,ALBA,"ŞCOALA GIMNAZIALĂ NR. 3 - CUGIR",133,"ORAŞ CUGIR",1696,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:20:57",963,957,1,4,1,423,418,0,4,1,408,15,1050,627,116,55,27,210
1,ALBA,"ŞCOALA GIMNAZIALĂ NR. 3 - CUGIR",134,"ORAŞ CUGIR",1696,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:43:40",1322,1310,1,8,3,561,549,1,8,3,541,20,1500,939,151,71,35,284
1,ALBA,"ŞCOALA GIMNAZIALĂ NR. 3 - CUGIR",136,"ORAŞ CUGIR",1696,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:43:43",1037,1030,1,6,0,434,428,0,6,0,420,14,1200,766,124,48,20,228
1,ALBA,"ŞCOALA GIMNAZIALĂ NR. 3 - CUGIR",135,"ORAŞ CUGIR",1696,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:02:11",1177,1169,2,6,0,483,477,0,6,0,468,15,1300,817,121,82,24,241
1,ALBA,"ȘCOALA GIMNAZIALĂ NR.3 CUGIR",137,"ORAŞ CUGIR",1696,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:22:18",958,946,3,9,0,465,456,0,9,0,460,5,1100,635,110,53,21,276
1,ALBA,"ŞCOALA GIMNAZIALĂ ”SINGIDAVA” CUGIR",142,"ORAŞ CUGIR",1696,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:42:35",1159,1151,1,7,0,418,411,0,7,0,384,34,1300,882,121,39,41,183
1,ALBA,"ŞCOALA GIMNAZIALĂ ”SINGIDAVA” CUGIR",140,"ORAŞ CUGIR",1696,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:29:57",1045,1033,1,9,2,435,424,0,9,2,422,13,1200,765,94,86,29,213
1,ALBA,"ŞCOALA GIMNAZIALĂ ”SINGIDAVA” CUGIR",141,"ORAŞ CUGIR",1696,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:30:06",1286,1274,2,9,1,569,559,0,9,1,552,17,1500,931,131,74,38,309
1,ALBA,"ȘCOALA GIMNAZIALĂ ”SINGIDAVA” CUGIR",143,"ORAŞ CUGIR",1696,2,PART,PRCNCT,P,P_SV,"2024-06-10 04:48:15",1166,1156,2,8,0,561,553,0,8,0,543,18,1300,739,158,83,37,265
1,ALBA,"ŞCOALA PRIMARĂ - BUCURU",150,"ORAŞ CUGIR",1696,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:11:54",94,84,0,10,0,46,36,0,10,0,43,3,100,54,5,2,2,34
1,ALBA,"ŞCOALA PRIMARĂ - CĂLENE",151,"ORAŞ CUGIR",1696,1,PART,PRCNCT,P,P_SV,"2024-06-09 23:39:16",53,45,0,8,0,25,17,0,8,0,24,1,50,25,1,3,1,19
1,ALBA,"ŞCOALA PRIMARĂ - MUGEŞTI",152,"ORAŞ CUGIR",1696,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:48:08",82,75,0,7,0,26,19,0,7,0,26,0,90,64,4,4,1,17
