precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"EREMIA NICULAE-PARTIDUL NAȚIONAL LIBERAL-voturi","DRAGNEA VALTER-PARTIDUL SOCIAL DEMOCRAT-voturi","PANTAZI NICOLAE-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
12,CĂLĂRAŞI,"GRĂDINIŢA CU PROGRAM NORMAL NR.3 GĂLĂŢUI",83,"ALEXANDRU ODOBESCU",94125,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:56:40",318,228,0,65,25,282,192,0,65,25,282,0,320,38,168,112,2
12,CĂLĂRAŞI,"SCOALA GIMNAZIALA NR1 NICOLAE BALCESCU",81,"ALEXANDRU ODOBESCU",94125,1,PART,PRCNCT,P,P_SV,"2024-06-10 11:22:58",1127,1010,2,65,50,840,727,1,65,47,821,19,1054,214,589,226,6
12,CĂLĂRAŞI,"SCOALA GIMNAZIALA NR. 2 ALEXANDRU ODOBESCU",82,"ALEXANDRU ODOBESCU",94125,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:12:57",1038,913,1,79,45,752,628,0,79,45,737,15,890,138,408,329,0
