precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BOCŞARU COSMIN-PARTIDUL SOCIAL DEMOCRAT-voturi","MERIŞESCU CAMELIA-DENISA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ŢÎRU DANIEL-PARTIDUL NAȚIONAL LIBERAL-voturi","CONSTANTIN NICOLAE-UNIUNEA SALVAȚI ROMÂNIA-voturi"
40,VÂLCEA,"ŞCOALA CU CLASELE I-IV GĂNEŞTI",267,LĂCUSTENI,174511,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:16:10",472,429,1,15,27,298,257,0,15,26,287,11,470,172,154,16,30,87
40,VÂLCEA,"ŞCOALA CU CLASELE I-IV LĂCUSTENI",266,LĂCUSTENI,174511,3,PART,PRCNCT,P,P_SV,"2024-06-10 07:10:36",442,403,0,21,18,297,258,0,21,18,289,8,440,143,111,31,38,109
40,VÂLCEA,"ŞCOALA CU CLASELE V-VIII LĂCUSTENI",265,LĂCUSTENI,174511,7,PART,PRCNCT,P,P_SV,"2024-06-10 07:16:06",260,250,0,2,8,171,161,0,2,8,165,6,280,109,79,4,47,35
