precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","FORȚA DREPTEI-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi"
16,DÂMBOVIŢA,"CENTRUL DE CULTURĂ ŞI TRADIŢIE POPULARĂ BRĂNEŞTI",150,BRĂNEŞTI,66009,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:25:09",1258,1247,2,7,2,713,704,0,7,2,691,22,1364,651,98,419,41,91,42
16,DÂMBOVIŢA,"GRĂDINIŢA CU PROGRAM NORMAL PRIBOIU",152,BRĂNEŞTI,66009,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:02:32",800,793,0,7,0,455,448,0,7,0,445,10,880,425,77,264,37,46,21
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ BRĂNEŞTI",151,BRĂNEŞTI,66009,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:15:03",1411,1405,0,5,1,714,708,0,5,1,682,32,1560,846,160,385,61,43,33
