precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CANEA ILIE-PARTIDUL SOCIAL DEMOCRAT-voturi","MIUŢESCU NICOLAE-UNIUNEA SALVAȚI ROMÂNIA-voturi","PAIDOLA EREMIA-PARTIDUL NAȚIONAL LIBERAL-voturi"
11,CARAŞ-SEVERIN,"CLĂDIREA AFTER SCHOOL",262,LĂPUŞNICEL,53069,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:18:14",406,328,0,32,46,276,198,0,32,46,272,3,409,134,213,11,48
11,CARAŞ-SEVERIN,"ŞCOALA PRIMARĂ PÂRVOVA",263,LĂPUŞNICEL,53069,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:18:13",393,317,0,53,23,285,209,0,53,23,282,3,399,114,215,0,67
11,CARAŞ-SEVERIN,"ŞCOALA PRIMARĂ ŞUMIŢA",264,LĂPUŞNICEL,53069,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:33:13",48,41,0,5,2,48,41,0,5,2,48,0,79,31,36,1,11
