precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"KUTTESCH PAUL-FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA-voturi","SAVA AUGUSTIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","CÎMPEAN DANIELA-PARTIDUL NAȚIONAL LIBERAL-voturi","TRIF BOGDAN-GHEORGHE-PARTIDUL SOCIAL DEMOCRAT-voturi","TRANCĂ LUCIAN-LIVIU-PARTIDUL PATRIOȚILOR-voturi","ECHERT ADRIAN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","GLIGOR IOAN-PARTIDUL ECOLOGIST ROMÂN-voturi","DRAGOŞ PATRICHE-PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
34,SIBIU,"CĂMIN MOTIȘ",379,"VALEA VIILOR",145961,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:18:49",541,534,1,4,2,229,223,0,4,2,213,16,590,361,0,42,46,104,4,13,3,1
34,SIBIU,"CĂMINUL CULTURAL",377,"TURNU ROŞU",145934,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:47:58",462,447,3,11,1,298,286,0,11,1,281,17,490,192,6,13,59,104,1,86,6,6
34,SIBIU,"CĂMINUL CULTURAL AL COMUNEI MOȘNA",307,MOŞNA,145104,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:26:19",1002,991,4,7,0,548,540,1,7,0,516,32,1085,537,9,89,217,124,18,27,16,16
34,SIBIU,"CĂMINUL CULTURAL AL COMUNEI MOȘNA",306,MOŞNA,145104,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:35:56",1081,1079,2,0,0,477,477,0,0,0,442,35,1190,713,6,160,116,79,16,32,12,21
34,SIBIU,"CĂMINUL CULTURAL AL COMUNEI SADU",340,SADU,145471,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:02:40",908,888,1,3,16,635,616,0,3,16,614,21,1000,365,12,54,433,65,2,30,15,3
34,SIBIU,"CĂMINUL CULTURAL AL COMUNEI SADU",341,SADU,145471,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:23:38",1336,1311,10,13,2,881,864,2,13,2,859,22,1400,519,38,118,508,110,9,63,13,0
34,SIBIU,"CĂMINUL CULTURAL ALMA",219,ALMA,146012,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:23:47",665,637,4,9,15,475,448,3,9,15,458,17,700,225,8,75,106,190,7,64,2,6
34,SIBIU,"CĂMINUL CULTURAL BRATEIU",252,BRATEIU,144349,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:14:01",1177,1168,6,0,3,632,628,1,0,3,593,39,1260,628,8,78,324,60,12,96,7,8
34,SIBIU,"CĂMINUL CULTURAL COLUN",325,"PORUMBACU DE JOS",145293,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:30:17",158,144,0,14,0,108,94,0,14,0,93,15,160,52,1,5,32,44,0,6,0,5
34,SIBIU,"CĂMINUL CULTURAL DÂRLOS",269,DÂRLOS,144553,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:53:46",882,876,1,4,1,391,386,0,4,1,377,14,1050,659,13,81,178,42,29,22,6,6
34,SIBIU,"CĂMINUL CULTURAL ERNEA",193,"ORAŞ DUMBRĂVENI",143806,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:51:00",414,406,0,7,1,226,218,0,7,1,206,20,450,224,9,15,100,72,3,4,2,1
34,SIBIU,"CĂMINUL CULTURAL GIACĂŞ",220,ALMA,146012,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:45:00",188,176,0,8,4,149,137,0,8,4,134,3,190,53,3,7,55,64,0,4,0,1
34,SIBIU,"CAMINUL CULTURAL NOCRICH",310,NOCRICH,145140,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:32:45",1189,1164,12,6,7,747,733,1,6,7,676,71,1300,553,14,154,147,238,5,32,86,0
34,SIBIU,"CĂMINUL CULTURAL NOU ROMÂN",229,"ARPAŞU DE JOS",143959,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:32:51",310,280,3,18,9,199,172,0,18,9,185,14,320,121,5,9,88,73,0,9,1,0
34,SIBIU,"CĂMINUL CULTURAL POPLACA",323,POPLACA,143502,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:37:02",1502,1492,2,8,0,939,930,1,8,0,908,31,1600,661,51,140,209,425,15,28,33,7
34,SIBIU,"CĂMINUL CULTURAL PORUMBACU DE SUS",326,"PORUMBACU DE JOS",145293,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:04:24",763,717,8,27,11,516,474,5,27,10,510,0,760,200,14,40,174,233,4,22,4,19
34,SIBIU,"CĂMINUL CULTURAL RACOVIŢA",329,RACOVIŢA,145355,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:06:34",1798,1766,1,15,16,1214,1182,1,15,16,1161,37,1950,752,17,44,765,272,3,48,9,3
34,SIBIU,"CĂMINUL CULTURAL RĂȘINARI",333,RĂŞINARI,143520,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:26:57",1405,1389,3,9,4,845,832,0,9,4,823,22,1500,655,46,83,355,232,8,58,35,6
34,SIBIU,"CĂMINUL CULTURAL ”REGELE MIHAI I”",376,"TURNU ROŞU",145934,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:32:49",1584,1531,3,49,1,1063,1012,1,49,1,1028,35,1610,547,33,78,222,326,15,322,21,11
34,SIBIU,"CĂMINUL CULTURAL SÂNGĂTIN",226,"APOLDU DE JOS",143922,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:49:11",231,217,4,10,0,156,146,0,10,0,151,5,240,84,0,15,62,67,1,3,2,1
34,SIBIU,"CĂMINUL CULTURAL SARATA",327,"PORUMBACU DE JOS",145293,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:01:13",294,271,3,10,10,173,151,3,10,9,165,8,300,127,3,27,57,57,2,7,2,10
34,SIBIU,"CĂMINUL CULTURAL SĂSĂUŞ",263,CHIRPĂR,144456,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:41:47",112,105,1,5,1,65,59,0,5,1,62,3,120,55,1,13,10,24,0,13,1,0
34,SIBIU,"CĂMINUL CULTURAL SCOREIU",328,"PORUMBACU DE JOS",145293,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:47:40",566,536,0,23,7,346,316,0,23,7,328,18,580,234,4,25,139,140,1,11,2,6
34,SIBIU,"CĂMINUL CULTURAL SEBEȘU DE SUS",330,RACOVIŢA,145355,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:30:23",598,591,1,4,2,385,378,1,4,2,369,16,650,265,6,15,269,51,3,15,6,4
34,SIBIU,"CĂMINUL CULTURAL ŞMIG",221,ALMA,146012,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:30:52",738,715,0,4,19,590,567,0,4,19,573,17,790,200,4,24,471,44,3,22,2,3
34,SIBIU,"CĂMINUL CULTURAL VĂRD",264,CHIRPĂR,144456,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:23:42",289,288,0,1,0,164,163,0,1,0,156,8,310,146,2,22,64,59,0,8,1,0
34,SIBIU,"CĂMIN VALEA VIILOR",378,"VALEA VIILOR",145961,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:22:01",1304,1241,3,5,55,645,584,1,5,55,593,52,1310,665,22,80,155,271,9,41,4,11
34,SIBIU,"CASA CORPULUI DIDACTIC",48,"MUNICIPIUL SIBIU",143450,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:24:56",1416,1389,16,11,0,658,647,0,11,0,635,23,1554,896,151,37,157,87,16,149,24,14
34,SIBIU,"CASA DE CULTURĂ CISNĂDIE",183,"ORAŞ CISNĂDIE",143735,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:40:12",1380,1363,1,16,0,740,723,1,16,0,712,11,1460,53,75,53,154,63,11,323,24,9
34,SIBIU,"CASA DE CULTURĂ CISNĂDIE",182,"ORAŞ CISNĂDIE",143735,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:48:25",1703,1674,19,10,0,706,696,0,10,0,685,21,1840,1134,62,90,248,95,10,124,39,17
34,SIBIU,"CASA DE CULTURĂ ”ILARION COCIȘIU”",155,"ORAŞ AGNITA",143682,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:04:35",1173,1162,4,6,1,427,420,0,6,1,411,16,1300,873,27,70,220,48,0,35,8,3
34,SIBIU,"CASA DE OASPETI",137,"MUNICIPIUL MEDIAŞ",143619,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:35:06",760,747,5,7,1,327,319,0,7,1,313,14,950,623,24,17,109,50,71,31,11,0
34,SIBIU,"CASA PAROHIALA CULT ORTODOX",351,"ŞEICA MARE",145667,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:21:53",56,47,1,8,0,30,22,0,8,0,28,2,50,20,1,1,9,10,1,4,2,0
34,SIBIU,"CASA SENIORILOR",153,"ORAŞ AGNITA",143682,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:29:42",1370,1363,0,5,2,500,493,0,5,2,469,31,1500,1000,26,32,308,68,5,20,7,3
34,SIBIU,"CENTRU DE DOCUMENTARE ȘI INFORMARE SIBIEL",211,"ORAŞ SĂLIŞTE",145499,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:55:57",381,368,0,10,3,227,214,0,10,3,219,8,400,173,7,16,117,43,1,26,8,1
34,SIBIU,"CENTRUL ŞCOLAR PENTRU EDUCAŢIE INCLUZIVĂ DUMBRĂVENI",192,"ORAŞ DUMBRĂVENI",143806,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:57:20",1207,1186,3,8,10,507,489,0,8,10,470,37,1300,793,6,30,238,165,2,21,7,1
34,SIBIU,"CENTRU ŞCOLAR DE EDUCAŢIE INCLUZIVĂ MEDIAŞ",116,"MUNICIPIUL MEDIAŞ",143619,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:57:54",1106,1095,2,7,2,527,518,0,7,2,513,14,1260,733,33,34,181,60,131,57,15,2
34,SIBIU,"CLĂDIREA FOSTEI PRIMĂRII",212,"ORAŞ SĂLIŞTE",145499,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:35:34",326,302,4,12,8,213,193,0,12,8,201,12,350,137,8,14,88,74,1,10,5,1
34,SIBIU,"CLĂDIREA PAROHIALĂ ORTODOXĂ NR.1 OCNA SIBIULUI",201,"ORAŞ OCNA SIBIULUI",143851,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:53:30",1446,1430,3,10,3,811,798,0,10,3,758,53,1570,759,29,142,273,211,10,61,22,10
34,SIBIU,"CLADIREA PRIMARIEI (FOSTA SCOALA), DUPUS NR. 107.",231,AŢEL,143995,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:01:54",202,189,4,7,2,80,71,0,7,2,77,3,210,130,1,7,29,30,1,3,4,2
34,SIBIU,"CLĂDIREA ȘCOLII GIMNAZIALE AUREL POPA- ARPAȘU DE SUS",228,"ARPAŞU DE JOS",143959,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:57:19",1080,1044,2,13,21,709,675,0,13,21,650,59,1150,441,2,102,312,196,9,15,10,4
34,SIBIU,"CLADIRE (FOST SEDIU PRIMARIE),TOPÎRCEA",202,"ORAŞ OCNA SIBIULUI",143851,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:12:28",126,113,0,13,0,72,59,0,13,0,71,1,130,58,4,11,24,22,0,8,2,0
34,SIBIU,"CLĂDIRE PUBLICĂ A ADMINISTRAȚIEI LOCALE ORAȘ DUMBRĂVENI",194,"ORAŞ DUMBRĂVENI",143806,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:02:01",1412,1397,2,5,8,693,680,0,5,8,632,61,1550,857,8,57,108,430,7,13,3,6
34,SIBIU,"CLUBUL COPIILOR",115,"MUNICIPIUL MEDIAŞ",143619,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:49:25",1006,992,3,8,3,459,448,0,8,3,443,16,1000,541,36,43,164,60,85,37,16,2
34,SIBIU,"COLEGIU ECONOMIC GEORGE BARIŢIU",66,"MUNICIPIUL SIBIU",143450,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:56:56",1127,1119,3,5,0,447,442,0,5,0,434,13,1253,806,97,30,115,82,9,67,23,11
34,SIBIU,"COLEGIU ECONOMIC GEORGE BARIŢIU",67,"MUNICIPIUL SIBIU",143450,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:07:38",1239,1227,3,9,0,492,483,0,9,0,480,12,1369,877,112,43,112,82,14,82,23,12
34,SIBIU,"COLEGIUL AGRICOL DANIIL POPOVICI BARCIANU SIBIU",47,"MUNICIPIUL SIBIU",143450,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:59:39",1112,985,56,24,47,478,407,0,24,47,464,14,1155,674,93,49,127,54,13,86,33,9
34,SIBIU,"COLEGIUL ECONOMIC GEORGE BARIŢIU, SIBIU",68,"MUNICIPIUL SIBIU",143450,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:24:26",1222,1203,12,7,0,585,578,0,7,0,571,14,1342,757,126,52,151,76,6,115,35,10
34,SIBIU,"COLEGIUL NAŢIONAL GHEORGHE LAZĂR SIBIU",39,"MUNICIPIUL SIBIU",143450,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:44:46",1123,1084,27,12,0,420,408,0,12,0,407,13,1225,805,88,48,93,67,11,63,23,14
34,SIBIU,"COLEGIUL NAŢIONAL OCTAVIAN GOGA CU STRUCTURĂ ŞCOALA CU CLASELE I-VIII NR. 15",44,"MUNICIPIUL SIBIU",143450,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:33:30",1088,1075,11,2,0,418,414,2,2,0,409,9,1216,798,99,28,114,59,16,70,14,9
34,SIBIU,"COLEGIUL NAŢIONAL OCTAVIAN GOGA SIBIU",43,"MUNICIPIUL SIBIU",143450,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:39:42",878,860,10,8,0,339,331,0,8,0,332,7,980,641,63,37,100,51,6,54,20,1
34,SIBIU,"COLEGIUL NAŢIONAL PEDAGOGIC ANDREI ŞAGUNA",100,"MUNICIPIUL SIBIU",143450,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 11:26:22",1218,1207,3,8,0,501,493,0,8,0,486,15,1336,835,87,40,109,114,12,92,22,10
34,SIBIU,"COLEGIUL NAŢIONAL PEDAGOGIC ANDREI ŞAGUNA",101,"MUNICIPIUL SIBIU",143450,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:24:23",1115,1104,4,7,0,497,490,0,7,0,481,16,1264,767,110,37,105,105,14,84,16,10
34,SIBIU,"COLEGIUL ”ŞCOALA NAŢIONALĂ DE GAZ”",136,"MUNICIPIUL MEDIAŞ",143619,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:43:41",1071,1062,3,6,0,431,425,0,6,0,420,11,1150,719,32,34,138,65,95,38,14,4
34,SIBIU,"COLEGIUL TEHNIC A.T. LAUREAN",154,"ORAŞ AGNITA",143682,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:04:58",1028,1024,1,3,0,394,391,0,3,0,382,12,1130,736,16,56,238,46,1,16,6,3
34,SIBIU,"COLEGIUL TEHNIC DE INDUSTRIE ALIMENTARĂ TEREZIANUM SIBIU",20,"MUNICIPIUL SIBIU",143450,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:55:45",1368,1355,2,11,0,607,596,0,11,0,595,12,1496,889,170,50,168,70,9,90,28,10
34,SIBIU,"COLEGIUL TEHNIC DE INDUSTRIE ALIMENTARĂ TEREZIANUM SIBIU",19,"MUNICIPIUL SIBIU",143450,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:56:58",1436,1428,2,6,0,637,631,0,6,0,617,20,1583,946,154,56,145,85,22,112,29,14
34,SIBIU,"COLEGIUL TEHNIC ENERGETIC",73,"MUNICIPIUL SIBIU",143450,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:54:01",1459,1452,0,7,0,639,632,0,7,0,621,18,1623,984,164,51,142,100,10,109,36,9
34,SIBIU,"COLEGIUL TEHNIC ENERGETIC",74,"MUNICIPIUL SIBIU",143450,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:38:44",1174,1162,1,11,0,410,399,0,11,0,390,9,1319,920,81,52,88,76,6,63,16,8
