precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ENACHE CONSTANTIN-PARTIDUL SOCIAL DEMOCRAT-voturi","BORCOTECI GHEORGHIŢĂ-REMUS-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","POPONETE DUMITRU-PARTIDUL NAȚIONAL LIBERAL-voturi"
30,OLT,"CAMIN CULTURAL LELEASCA",238,LELEASCA,127411,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:56:18",413,382,0,28,3,275,244,0,28,3,269,6,473,198,123,10,136
30,OLT,"CAMINUL CULTURAL URSI",240,LELEASCA,127411,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:16:42",381,341,0,37,3,262,222,0,37,3,252,10,421,159,108,27,117
30,OLT,"SCOALA GENERALA TONESTI",239,LELEASCA,127411,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:01:25",315,251,0,55,9,259,195,0,55,9,257,1,318,60,213,2,42
