precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PAŞATA STERICĂ-PARTIDUL NAȚIONAL LIBERAL-voturi","CULINA MIHAI-PARTIDUL SOCIAL DEMOCRAT-voturi"
38,TULCEA,"ȘCOALA GIMNAZIALĂ BEIDAUD",81,BEIDAUD,159847,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:58:03",435,421,1,4,9,272,259,0,4,9,267,5,465,193,66,201
38,TULCEA,"ȘCOALA GIMNAZIALĂ NEATÂRNAREA",82,BEIDAUD,159847,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:10:33",192,184,0,5,3,192,184,0,5,3,182,10,398,206,49,133
38,TULCEA,"ȘCOALA GIMNAZIALĂ SARIGHIOL DE DEAL",83,BEIDAUD,159847,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:28:56",473,463,0,4,6,272,262,0,4,6,259,13,523,251,44,215
