precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ARDELEAN VASILE-STELIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","NASTOR GHEORGHE-PARTIDUL NAȚIONAL LIBERAL-voturi","STÎNĂ VALENTIN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","CERBA CRISTIAN-voturi"
37,TIMIŞ,"CLĂDIREA COMUNEI GOTTLOB (SALA DE ŞEDINŢE)",440,GOTTLOB,159419,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:15:54",1823,1782,4,8,29,930,892,1,8,29,900,30,2000,1070,29,477,22,372
37,TIMIŞ,"GRĂDINIŢA CU PROGRAM NORMAL VIZEJDIA",441,GOTTLOB,159419,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:01:41",367,365,1,1,0,160,159,0,1,0,154,6,402,242,5,100,5,44
