precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi","CSORBA IOSIF-ANDREI-voturi","RÎPA IOAN-voturi"
32,"SATU MARE","CAMIN CULTURAL",120,ACÂŞ,136713,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 09:18:32",1572,1554,3,8,7,869,854,0,8,7,718,139,1654,785,159,75,77,268,98,20,21
32,"SATU MARE","ŞCOALA GENERALĂ MIHAIENI",121,ACÂŞ,136713,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:08:28",373,371,0,0,2,186,184,0,0,2,175,11,400,214,53,16,22,70,8,5,1
32,"SATU MARE","ŞCOALA GENERALĂ UNIMĂT",122,ACÂŞ,136713,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:00:09",309,302,2,1,4,176,171,0,1,4,169,7,400,224,102,5,36,5,2,2,17
