precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-voturi","PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","PARTIDUL LEGE EDUCAȚIE UNITATE-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi"
26,MARAMUREŞ,"CĂMINUL CULTURAL",402,SĂCĂLĂŞENI,108794,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:08:08",747,695,0,21,31,513,471,0,21,21,506,6,800,288,163,49,215,28,16,1,34,0
26,MARAMUREŞ,"CĂMINUL CULTURAL",403,SĂCĂLĂŞENI,108794,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:33:39",544,533,0,10,1,306,295,0,10,1,292,14,558,252,41,55,81,36,35,10,13,21
26,MARAMUREŞ,"SALA DE SPORT",401,SĂCĂLĂŞENI,108794,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:13:39",846,821,0,23,2,476,451,0,23,2,458,18,900,424,29,167,88,116,1,9,46,2
