precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","DUŢĂ ION-voturi"
40,VÂLCEA,"CĂMINUL CULTURAL OTEŞANI",322,OTEŞANI,171931,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:02:23",1008,957,1,13,37,717,666,1,13,37,682,35,1100,383,249,308,94,17,12,2
40,VÂLCEA,"ŞCOALA CÎRSTĂNEŞTI",323,OTEŞANI,171931,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:26:17",1054,998,0,14,42,760,704,0,14,42,741,19,1150,390,439,205,63,17,16,1
