precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MIREA ALEXANDRU-PARTIDUL NAȚIONAL LIBERAL-voturi","FRĂŢILĂ MIRCEA-PARTIDUL SOCIAL DEMOCRAT-voturi"
10,BUZĂU,"CĂMINUL CULTURAL LUCIU",264,LUCIU,47300,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:57:55",1529,1517,0,7,5,844,832,0,7,5,804,40,1603,759,17,787
10,BUZĂU,"ŞCOALA CARAGELE",265,LUCIU,47300,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:31:23",632,629,0,2,1,386,383,0,2,1,374,12,755,369,46,328
