precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BORŞAN EMIL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","CADAR LUCREŢIA-PARTIDUL SOCIAL DEMOCRAT-voturi"
28,MUREŞ,"CĂMIN CULTURAL DEDA",346,DEDA,116545,1,PART,PRCNCT,P,P_SV,"2024-06-10 11:35:35",1548,1507,0,20,21,1064,1023,0,20,21,1030,34,1650,586,409,621
28,MUREŞ,"ŞCOALA GIMNAZIALĂ BISTRA-MUREŞULUI",347,DEDA,116545,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:41:14",828,803,0,12,13,542,517,0,12,13,528,14,900,358,127,401
28,MUREŞ,"ŞCOALA PRIMARĂ FILEA",348,DEDA,116545,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:16:29",595,572,0,12,11,432,409,0,12,11,427,5,630,198,134,293
28,MUREŞ,"ŞCOALA PRIMARĂ PIETRŞ",349,DEDA,116545,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:31:05",413,395,0,9,9,275,257,0,9,9,271,4,440,165,62,209
