precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL PRO ROMÂNIA-voturi"
1,ALBA,"INTERNAT ŞCOLAR - OCOLIŞ",330,OCOLIŞ,6119,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:47:33",251,228,1,15,7,197,175,0,15,7,194,3,261,64,159,35
1,ALBA,"ȘCOALA PRIMARĂ - RUNC",332,OCOLIŞ,6119,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:41:57",108,98,3,2,5,89,79,3,2,5,87,2,115,26,85,2
1,ALBA,"ȘCOALA PRIMARĂ - VIDOLM",333,OCOLIŞ,6119,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:23:42",78,44,0,30,4,69,35,0,30,4,66,3,75,6,50,16
1,ALBA,"TABĂRA DE CREAȚIE SI ODIHNĂ ”AVRAM IANCU”",331,OCOLIŞ,6119,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:49:37",58,42,0,12,4,48,32,0,12,4,48,0,75,27,47,1
