precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"STOENICĂ IULIAN-GABRIEL-UNIUNEA SALVAȚI ROMÂNIA-voturi","CIUPITU MARIN-PARTIDUL NAȚIONAL LIBERAL-voturi","CIUCĂ PAUL-PARTIDUL SOCIAL DEMOCRAT-voturi","IANCU ADRIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","SLAVU MIHAI-PARTIDUL S.O.S. ROMÂNIA-voturi","BĂLAN NELU-PARTIDUL PRO ROMÂNIA-voturi","POPA IONEL-FORȚA DREPTEI-voturi"
30,OLT,"CĂMINUL CULTURAL",353,VĂDĂSTRIŢA,129745,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:40:47",1098,1058,0,31,9,756,716,0,31,9,751,5,1165,409,145,329,167,64,5,38,3
30,OLT,"CĂMINUL CULTURAL",354,VĂDĂSTRIŢA,129745,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:41:16",1452,1423,0,14,15,1031,1002,0,14,15,989,42,1585,554,270,365,206,84,6,46,12
