precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MORAR MARIUS-PARTIDUL SOCIAL DEMOCRAT-voturi","RUJAN IOAN-PARTIDUL NAȚIONAL LIBERAL-voturi","IAKAB ARPAD-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi"
8,BRAŞOV,"CĂMINUL CULTURAL",336,CRIZBAV,42456,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:34:27",1472,1433,1,32,6,873,835,0,32,6,837,36,1600,727,95,101,641
8,BRAŞOV,"ŞCOALA PRIMARĂ CUTUŞ",337,CRIZBAV,42456,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:51:44",672,661,0,10,1,430,419,0,10,1,394,35,713,284,40,19,335
