precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MUREŞAN MARIUS-IOSIF-PARTIDUL NAȚIONAL LIBERAL-voturi","SĂVESCU GABRIEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","RADU DACIAN-CORNEL-PARTIDUL SOCIAL DEMOCRAT-voturi"
17,DOLJ,"SCOALA CLASELE I-IV MAGLAVIT",393,MAGLAVIT,73031,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:23:48",981,929,1,18,33,587,536,0,18,33,559,28,1100,513,416,20,123
17,DOLJ,"SCOALA CU CLASELE I-VIII MAGLAVIT",392,MAGLAVIT,73031,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:42:54",1811,1731,1,29,50,1121,1041,1,29,50,1070,43,1832,719,786,10,274
17,DOLJ,"ȘCOALA GENERALĂ HUNIA",394,MAGLAVIT,73031,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:06:20",995,948,0,20,27,581,534,0,20,27,561,20,1100,519,420,7,134
