precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MATEI COSTEL-PARTIDUL SOCIAL DEMOCRAT-voturi"
7,BOTOŞANI,"CAMIN CULTURAL HANESTI",267,HĂNEŞTI,37618,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:38:46",1867,1850,0,1,16,483,466,0,1,16,444,39,2000,1517,444
7,BOTOŞANI,"ȘCOALA CU CLASELE I-IV SĂRATA BASARAB",269,HĂNEŞTI,37618,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:31:56",895,884,0,7,4,199,188,0,7,4,189,10,993,794,189
7,BOTOŞANI,"SCOALA CU CL I-IV BOROLEA",268,HĂNEŞTI,37618,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:51:02",910,901,0,6,3,170,161,0,6,3,159,11,1000,830,159
