precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
13,CLUJ,"CAMINUL CULTURAL DIN LOCALITATEA GHEORGHENI",442,FELEACU,57582,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:17:18",939,921,2,14,2,608,592,0,14,2,589,19,1024,416,25,503,40,21
13,CLUJ,"CAMINUL CULTURAL FELEACU DIN LOCALITATEA FELEACU",441,FELEACU,57582,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:33:12",2082,2032,13,34,3,1136,1099,0,34,3,1095,41,2205,1044,149,41,618,287
13,CLUJ,"FOSTUL SEDIU CAP VILCELE DIN LOCALITATEA VILCELE",443,FELEACU,57582,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:49:19",919,907,3,9,0,488,479,0,9,0,468,20,1100,612,33,4,339,92
