precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MIHĂLŢAN ADRIAN-NICOLAE-PARTIDUL NAȚIONAL LIBERAL-voturi","CRĂCIUNEAN NICOLAE-PARTIDUL SOCIAL DEMOCRAT-voturi","DRAGOMIR IOAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
1,ALBA,"CLĂDIRE ADMINISTRATIVĂ COLIBI (FOSTA ŞCOALĂ GENERALĂ)",335,OHABA,6164,1,PART,PRCNCT,P,P_SV,"2024-06-09 23:41:57",21,20,0,1,0,12,11,0,1,0,12,0,20,8,11,0,1
1,ALBA,"FOSTUL SEDIU C.A.P.",336,OHABA,6164,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:04:22",147,123,0,13,11,115,91,0,13,11,113,2,150,35,79,31,3
1,ALBA,"ȘCOALA GIMNAZIALĂ OHABA",334,OHABA,6164,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:43:55",362,316,0,26,20,268,222,0,26,20,240,8,346,98,170,64,6
