precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL PRO ROMÂNIA-voturi","CONSTANTIN GEORGICĂ-voturi"
12,CĂLĂRAŞI,"ŞCOALA GIMNAZIALĂ ”CONSTANTIN TEODORESCU” ŞOLDANU",210,ŞOLDANU,105384,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 15:56:06",1716,1659,0,24,33,1181,1124,0,24,33,1117,64,1859,678,605,54,374,65,19
12,CĂLĂRAŞI,"ŞCOALA PRIMARĂ NR.1 NEGOEŞTI",211,ŞOLDANU,105384,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:59:00",788,756,0,14,18,558,526,0,14,18,511,47,848,290,343,40,61,10,57
