precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MISĂILĂ CRISTI-VALENTIN-PARTIDUL SOCIAL DEMOCRAT-voturi","RESMERIŢĂ VALENTIN-PARTIDUL NAȚIONAL LIBERAL-voturi","ANGHENE DRAGOŞ-RĂZVAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","NISTOROIU ALEXANDRU-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PLEŞA-PLUGARU DĂNUŢ-PARTIDUL S.O.S. ROMÂNIA-voturi","DIMITRIU-BUNGHEZ ANA-MARIA-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ZÎRNĂ CRISTIAN-voturi"
41,VRANCEA,"AGENŢIA JUDEŢEANĂ PENTRU PLĂŢI ŞI INSPECŢIE SOCIALĂ",33,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,P,P_SV,"2024-06-10 11:54:15",1393,1384,0,9,0,541,532,0,9,0,516,25,1528,987,267,127,45,6,11,45,15
41,VRANCEA,"ATENEUL POPULAR „MAIOR GHEORGHE PASTIA” FOCȘANI",3,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:49:13",637,623,0,14,0,637,623,0,14,0,620,16,1540,903,316,138,45,14,13,73,21
41,VRANCEA,"COLEGIUL NAŢIONAL ”AL. I. CUZA”",22,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,P,P_SV,"2024-06-10 09:53:23",853,838,2,8,5,354,341,0,8,5,344,10,927,573,167,78,29,5,8,48,9
41,VRANCEA,"COLEGIUL NAȚIONAL PEDAGOGIC „SPIRU HARET” FOCȘANI",41,"MUNICIPIUL FOCŞANI",174744,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:52:35",1608,1601,1,6,0,757,751,0,6,0,741,16,1768,1011,375,161,61,24,17,76,27
41,VRANCEA,"COLEGIUL NAŢIONAL ”UNIREA”",30,"MUNICIPIUL FOCŞANI",174744,1,PART,PRCNCT,P,P_SV,"2024-06-10 12:24:28",1096,1083,3,8,2,419,409,0,8,2,407,12,1200,781,225,84,28,6,14,44,6
41,VRANCEA,"COLEGIUL TEHNIC AUTO „TRAIAN VUIA”",8,"MUNICIPIUL FOCŞANI",174744,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:27:57",679,670,2,7,0,337,330,0,7,0,329,8,745,408,159,92,29,7,5,32,5
41,VRANCEA,"COLEGIUL TEHNIC AUTO „TRAIAN VUIA”",9,"MUNICIPIUL FOCŞANI",174744,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:38:55",1044,1035,1,8,0,480,472,0,8,0,461,19,1139,659,241,117,27,9,10,42,15
41,VRANCEA,"COLEGIUL TEHNIC ”EDMOND NICOLAU”",34,"MUNICIPIUL FOCŞANI",174744,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:37:37",1139,1131,0,8,0,491,483,0,8,0,481,10,1254,763,249,112,20,8,9,60,23
41,VRANCEA,"COLEGIUL TEHNIC „GHEORGHE ASACHI” FOCȘANI",23,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:09:00",1314,1310,0,3,1,560,556,0,3,1,541,19,1472,912,272,105,44,11,16,75,18
41,VRANCEA,"COLEGIUL TEHNIC „GHEORGHE ASACHI” FOCȘANI",24,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:59:47",1573,1560,3,10,0,624,613,1,10,0,604,20,1750,1126,332,115,52,5,20,59,21
