precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ILLYÉS ALEXANDRU-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","HOTCĂ MARINEL-PARTIDUL SOCIAL DEMOCRAT-voturi","POP VASILE-PARTIDUL NAȚIONAL LIBERAL-voturi"
32,"SATU MARE","GRĂDINIŢA BĂBEŞTI",207,HALMEU,137764,3,PART,PRCNCT,P,P_SV,"2024-06-11 17:55:12",357,350,0,7,0,205,198,0,7,0,185,20,380,175,145,16,24
32,"SATU MARE","GRĂDINIŢA DABOLŢ",208,HALMEU,137764,2,PART,PRCNCT,P,P_SV,"2024-06-10 06:56:44",345,330,2,10,3,182,168,1,10,3,176,6,370,188,151,9,16
32,"SATU MARE","GRĂDINIŢA MESTEACĂN",209,HALMEU,137764,2,PART,PRCNCT,P,P_SV,"2024-06-11 18:07:41",383,373,1,8,1,143,134,0,8,1,141,2,406,263,49,30,62
32,"SATU MARE","ŞCOALA CU CLS.I-VIII HALMEU",206,HALMEU,137764,2,PART,PRCNCT,P,P_SV,"2024-06-11 17:42:59",1372,1347,0,11,14,608,583,0,11,14,570,38,1500,892,239,135,196
32,"SATU MARE","ŞCOALA CU CLS.I-VIII HALMEU",205,HALMEU,137764,3,PART,PRCNCT,P,P_SV,"2024-06-11 17:29:21",1681,1639,5,9,28,739,701,1,9,28,713,26,1855,1116,278,178,257
