precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","ŞUHANI-HRECENIUC LUCIAN-voturi"
35,SUCEAVA,"GRĂDINIȚA CU PROGRAM NORMAL IPOTEȘTI",369,IPOTEŞTI,146281,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:37:04",1956,1928,6,22,0,1013,991,0,22,0,1006,7,2200,1187,347,354,43,39,186,37
35,SUCEAVA,"ȘCOALA GIMNAZIALĂ IPOTEȘTI",368,IPOTEŞTI,146281,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 17:40:46",2166,2151,1,11,3,1170,1156,0,11,3,1137,31,2294,1126,389,395,87,49,186,31
35,SUCEAVA,"ȘCOALA PRIMARĂ IPOTEȘTI",370,IPOTEŞTI,146281,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:58:14",1249,1244,0,5,0,646,641,0,5,0,627,19,1350,704,291,234,38,20,43,1
35,SUCEAVA,"ŞCOALA PRIMARĂ LISAURA",371,IPOTEŞTI,146281,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:38:09",1463,1454,3,5,1,792,785,1,5,1,778,14,1600,800,323,173,55,19,161,47
35,SUCEAVA,"ŞCOALA PRIMARĂ TIŞĂUŢI",372,IPOTEŞTI,146281,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:21:07",1331,1322,5,4,0,793,789,0,4,0,778,15,1448,655,250,232,126,23,128,19
