precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","SIMEDREA CRISTIAN-NICOLAE-voturi"
22,HUNEDOARA,"CĂMINUL CULTURAL ZDRAPȚI",353,CRIŞCIOR,87362,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:26:19",716,706,2,4,4,429,421,0,4,4,417,12,800,371,218,121,57,13,1,1,6
22,HUNEDOARA,"LICEUL TEHNOLOGIC ”CRIŞAN” CRIŞCIOR",352,CRIŞCIOR,87362,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:48:34",1181,1180,0,1,0,654,653,0,1,0,628,26,1290,636,326,115,102,40,8,10,27
22,HUNEDOARA,"PRIMĂRIA COMUNEI CRIȘCIOR - CASA CĂSĂTORIILOR",351,CRIŞCIOR,87362,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:19:33",1288,1267,4,7,10,813,796,0,7,10,781,32,1400,587,425,185,76,10,6,4,75
