precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"LIENERTH MIHAIL-PARTIDUL SOCIAL DEMOCRAT-voturi","TOMA LIVIU-PARTIDUL NAȚIONAL LIBERAL-voturi","POPA GHEORGHE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","VULCAN TOMA-PARTIDUL ECOLOGIST ROMÂN-voturi"
34,SIBIU,"SALA SPORT",380,VURPĂR,145998,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:36:34",1300,1296,1,3,0,667,664,0,3,0,623,44,1420,753,270,206,121,26
34,SIBIU,"ŞCOALA GIMNAZIALĂ",381,VURPĂR,145998,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:39:31",893,893,0,0,0,404,404,0,0,0,389,15,983,579,130,144,92,23
