precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","FORȚA DREPTEI-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL PRO ROMÂNIA-voturi","GAFIŢA-CIUDIN VASILE-voturi"
29,NEAMŢ,"CONTAINER MODULAR",164,BĂLŢĂTEŞTI,121242,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:36:45",515,499,0,10,6,280,264,0,10,6,263,17,600,320,47,78,7,64,12,20,35
29,NEAMŢ,"PRIMĂRIA COMUNEI BĂLŢĂTEŞTI",163,BĂLŢĂTEŞTI,121242,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:08:57",1701,1681,0,6,14,962,942,0,6,14,926,36,1800,838,256,282,76,123,36,30,123
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ",165,BĂLŢĂTEŞTI,121242,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:39:16",1153,1150,0,2,1,659,656,0,2,1,613,46,1300,641,147,199,62,27,66,78,34
