precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
10,BUZĂU,"GRADINITA CU PROGRAM NORMAL RUBLA",400,"VALEA RÂMNICULUI",50022,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:21:17",912,901,1,6,4,550,540,0,6,4,540,10,991,441,427,49,25,39
10,BUZĂU,"ȘCOALA GIMNAZIALĂ OREAVUL",399,"VALEA RÂMNICULUI",50022,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:07:14",1830,1811,3,12,4,941,925,0,12,4,917,24,2000,1059,646,74,137,60
10,BUZĂU,"SCOALA GIMNAZIALA VALEA RAMNICULUI",398,"VALEA RÂMNICULUI",50022,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:13:26",1790,1762,2,8,18,979,952,1,8,18,951,28,1975,996,740,89,55,67
