precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALEXANDRU IONUŢ-CIPRIAN-UNIUNEA SALVAȚI ROMÂNIA-voturi","MINA MARIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","PETCU TOMA-FLORIN-PARTIDUL NAȚIONAL LIBERAL-voturi","CÂNDEA IOSIF-DORIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BUDURU CONSTANTIN-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","COBZARU SILE-PARTIDUL MIȘCAREA POPULARĂ-voturi"
19,GIURGIU,"AFTER SCHOOL VALEA DRAGULUI",232,"VALEA DRAGULUI",105776,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:24:28",1046,1016,0,18,12,1046,1016,0,18,12,845,30,1137,262,7,89,511,232,2,4
19,GIURGIU,"AGENȚIA PENTRU PROTECȚIA MEDIULUI GIURGIU SALA DE CONSILIU",23,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:28:13",1744,1728,4,9,3,648,636,0,9,3,612,27,1914,1266,21,216,260,83,21,11
19,GIURGIU,"CAMIN CULTURAL",110,DAIA,102446,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:26:13",565,497,1,47,20,404,337,0,47,20,378,20,547,149,6,68,268,28,3,5
19,GIURGIU,"CAMIN CULTURAL BUTURUGENI",87,BUTURUGENI,101617,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:53:03",622,588,0,17,17,474,440,0,17,17,466,8,660,186,17,101,310,32,3,3
19,GIURGIU,"CĂMIN CULTURAL VEDEA",244,VEDEA,105909,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:20:23",795,711,0,56,28,688,604,0,56,28,591,13,765,161,4,172,379,32,3,1
19,GIURGIU,"CĂMINUL CULTURAL",96,COLIBAŞI,102071,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:24:52",827,796,0,6,25,642,612,0,6,24,634,8,908,262,8,88,496,27,7,8
19,GIURGIU,"CĂMINUL CULTURAL BOLINTIN - DEAL",75,BOLINTIN-DEAL,101163,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:08:47",1453,1418,3,25,7,820,788,0,25,7,777,41,1562,744,29,285,384,50,11,18
19,GIURGIU,"CĂMINUL CULTURAL BULBUCATA",85,BULBUCATA,101519,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:14:45",1235,1082,2,149,2,914,763,0,149,2,906,8,1180,266,30,103,756,10,7,0
19,GIURGIU,"CĂMINUL CULTURAL CLEJANI",94,CLEJANI,101984,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:54:53",1340,1260,5,18,57,961,886,0,18,57,961,0,1441,480,0,85,839,29,2,6
19,GIURGIU,"CĂMINUL CULTURAL FRĂTEŞTI",120,FRĂTEŞTI,102909,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:06:38",1408,1327,2,41,38,875,796,0,41,38,842,33,1450,572,12,274,477,53,9,17
