precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ZINCĂ FLORIN-PARTIDUL NAȚIONAL LIBERAL-voturi","PĂTULEANU MARIAN-PARTIDUL SOCIAL DEMOCRAT-voturi"
19,GIURGIU,"GRĂDINIŢA CU PROGRAM NORMAL NR. 3 STEJARU",211,SINGURENI,105106,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:05:04",587,542,0,28,17,468,423,0,28,17,456,12,600,120,150,306
19,GIURGIU,"PRIMARIA SINGURENI",209,SINGURENI,105106,1,PART,PRCNCT,P,P_SV,"2024-06-12 13:00:40",1104,1021,4,47,32,783,705,0,46,32,758,25,1153,370,313,445
19,GIURGIU,"ŞCOALA PRIMARĂ NR.2 CRÎNGURI",210,SINGURENI,105106,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:23:26",620,566,2,21,31,488,435,1,21,31,472,8,627,145,209,263
