precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","MATEI PAUL-VLAD-voturi"
8,BRAŞOV,"CAMIN CULTURAL",351,HĂLCHIU,41033,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:53:30",1055,1043,2,8,2,570,559,1,8,2,544,26,1100,530,233,188,66,16,1,6,18,16
8,BRAŞOV,"CĂMINUL CULTURAL",349,HĂLCHIU,41033,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:54:33",1614,1595,1,11,7,922,903,1,11,7,907,15,1759,835,28,286,177,146,27,96,73,74
8,BRAŞOV,"LOCAȚIA KREDENT",350,HĂLCHIU,41033,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:45:05",1620,1602,2,15,1,945,929,0,15,1,904,41,1800,855,14,274,154,167,30,100,82,83
