precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi","BÜKKÖSI ERIKA-voturi","SZOMBATH JOZSEF-ATTILA-voturi","NEMES ARCADIU-voturi","BORBELY PIROSKA-voturi"
28,MUREŞ,"ȘCOALA GIMNAZIALĂ ” PATAKY AGOTHA” MĂDĂRAȘ",444,MĂDĂRAŞ,120502,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:40:10",1031,1018,0,5,8,670,657,0,5,8,575,77,1082,412,386,20,74,42,32,6,15
28,MUREŞ,"ȘCOALA PRIMARĂ CU CLASELE I-IV FÂNAȚTELE MĂDĂRAȘULUI",445,MĂDĂRAŞ,120502,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:05:54",223,218,0,3,2,168,163,0,3,2,151,17,291,123,116,2,14,7,9,1,2
