precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"SAFTA ION-PARTIDUL SOCIAL DEMOCRAT-voturi","IRIMIA MARIAN-PARTIDUL NAȚIONAL LIBERAL-voturi"
40,VÂLCEA,"GRĂDINIŢA MILEŞTI",219,FĂUREŞTI,169583,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:24:23",509,485,0,12,12,305,281,0,12,12,303,2,540,235,53,250
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ FĂUREŞTI",220,FĂUREŞTI,169583,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:46:43",661,631,0,21,9,430,400,0,21,9,418,12,690,260,92,326
