precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","FORȚA DREPTEI-voturi","PARTIDUL PRO ROMÂNIA-voturi"
39,VASLUI,"CĂMINUL CULTURAL ” VASILE FOLESCU” CREŢEŞTI",260,CREŢEŞTI,163208,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 14:08:55",451,416,1,17,17,292,257,1,17,17,286,6,500,208,84,155,13,9,11,5,9
39,VASLUI,"ŞCOALA DEZAFECTATA BUDEŞTI",261,CREŢEŞTI,163208,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:54:55",142,134,0,5,3,87,79,0,5,3,84,3,200,113,38,35,3,4,2,0,2
39,VASLUI,"ŞCOALA GIMNAZIALA NR.1 CRETESTII DE SUS",262,CREŢEŞTI,163208,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:54:59",513,472,0,16,25,291,250,0,16,25,271,20,500,209,53,106,12,41,6,1,52
39,VASLUI,"ŞCOALA NOUA SATU NOU",263,CREŢEŞTI,163208,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:01:35",258,224,1,11,22,180,147,0,11,22,168,12,218,38,34,104,11,3,2,0,14
