precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL SOCIALIST ROMÂN-voturi"
9,BRĂILA,"CĂMIN CULTURAL",268,UNIREA,44355,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:16:20",1039,1023,0,11,5,650,634,0,11,5,598,52,1158,508,25,137,37,374,25
9,BRĂILA,"CĂMIN CULTURAL",267,UNIREA,44355,2,PART,PRCNCT,CL,CL_SV,"2024-06-12 19:41:15",839,804,0,19,16,578,543,0,19,16,548,30,926,348,11,132,5,398,2
