precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"TÁNCZOS FERENC-SZABOLCS-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi"
15,COVASNA,"SALA DE ȘEDINȚĂ A CONSILIULUI LOCAL BRATEȘ",112,BRATEŞ,64005,2,PART,PRCNCT,P,P_SV,"2024-06-10 06:12:56",463,445,1,2,15,284,267,0,2,15,276,8,477,193,276
15,COVASNA,"ȘCOALA PRIMARĂ ” HORVÁTH KÁROLY” TELECHIA",114,BRATEŞ,64005,2,PART,PRCNCT,P,P_SV,"2024-06-10 05:25:12",461,447,2,2,10,234,222,0,2,10,227,7,500,266,227
15,COVASNA,"ȘCOALA PRIMARĂ ” VIDA ANDRÁS” PACHIA",113,BRATEŞ,64005,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:28:14",254,247,0,0,7,151,144,0,0,7,145,6,300,149,145
