precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","FORȚA DREPTEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA NOI SUNTEM MANGALIA-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL PATRIOȚILOR-voturi"
14,CONSTANŢA,"BAZA SPORTIVĂ MARINA",236,"MUNICIPIUL MANGALIA",60482,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:04:23",655,640,7,8,0,400,392,0,8,0,390,9,700,300,41,106,104,58,1,18,30,15,8,8,1
14,CONSTANŢA,"CASA MUNICIPALĂ DE CULTURĂ",212,"MUNICIPIUL MANGALIA",60482,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:05:37",1528,1518,0,8,2,742,732,0,8,2,713,28,1700,959,62,197,229,116,12,6,44,17,11,13,6
14,CONSTANŢA,"CLUB SPITAL MANGALIA",232,"MUNICIPIUL MANGALIA",60482,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 15:10:59",840,827,0,10,3,450,438,0,10,2,434,14,900,452,32,124,146,65,2,4,20,14,15,7,5
14,CONSTANŢA,"GRĂDINIȚA CALLATIS",233,"MUNICIPIUL MANGALIA",60482,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:21:14",1020,1003,0,13,4,488,471,0,13,4,461,14,1100,625,39,90,167,73,6,4,34,17,16,9,6
14,CONSTANŢA,"GRĂDINIȚA NR.3",219,"MUNICIPIUL MANGALIA",60482,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:25:36",1512,1502,0,10,0,733,723,0,10,0,706,27,1700,967,53,195,191,115,3,25,50,40,19,5,10
14,CONSTANŢA,"GRADINITA NR. 5 NEPTUN",237,"MUNICIPIUL MANGALIA",60482,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:03:20",1247,1236,3,6,2,574,566,0,6,2,546,20,1400,826,33,129,204,117,0,3,22,16,15,4,3
14,CONSTANŢA,"GRĂDINIȚA NR. 5 NEPTUN",238,"MUNICIPIUL MANGALIA",60482,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:28:25",497,488,2,7,0,239,232,0,7,0,218,21,500,261,6,43,104,29,2,2,5,8,9,7,3
14,CONSTANŢA,"GRUP ȘCOLAR ECONOMIC",213,"MUNICIPIUL MANGALIA",60482,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 15:33:52",1329,1315,0,10,4,702,688,0,10,4,674,28,1500,798,56,149,230,110,5,8,43,21,35,14,3
14,CONSTANŢA,"GRUP ȘCOLAR INDUSTRIAL ”ION BĂNESCU”",215,"MUNICIPIUL MANGALIA",60482,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:14:17",1327,1317,0,9,1,686,676,0,9,1,665,21,1500,814,51,148,193,117,5,18,64,25,21,11,12
14,CONSTANŢA,"HOTEL MANGALIA",230,"MUNICIPIUL MANGALIA",60482,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:30:11",1178,1170,2,4,2,594,588,0,4,2,573,21,1300,706,46,153,192,91,5,6,38,18,15,6,3
14,CONSTANŢA,"LICEUL CALLATIS",234,"MUNICIPIUL MANGALIA",60482,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 13:10:39",1118,1095,0,5,18,582,559,0,5,18,559,10,1300,731,52,125,211,82,6,4,33,21,11,9,5
