precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","FORȚA DREPTEI-voturi"
2,ARAD,"ȘCOALA GIMNAZIALĂ ŞIMAND",378,ŞIMAND,12340,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:44:51",1468,1425,4,2,37,821,782,0,2,37,780,41,1570,749,137,158,343,42,20,80
2,ARAD,"ȘCOALA GIMNAZIALĂ ȘIMAND - GRĂDINIȚA CU PROGRAM NORMAL NR.2",380,ŞIMAND,12340,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:36:28",815,772,2,13,28,436,395,0,13,28,404,32,850,414,95,81,164,22,8,34
2,ARAD,"ȘCOALA PRIMARĂ ŞIMAND",379,ŞIMAND,12340,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:43:04",1251,1208,1,5,37,826,784,0,5,37,799,27,1321,495,109,155,366,108,12,49
