precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
41,VRANCEA,"AGENŢIA JUDEŢEANĂ PENTRU PLĂŢI ŞI INSPECŢIE SOCIALĂ",33,"MUNICIPIUL FOCŞANI",174744,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 11:07:18",1397,1384,4,9,0,541,532,0,9,0,517,24,1528,987,13,20,153,49,206,76
41,VRANCEA,"AȘEZĂMÂNT CULTURAL",344,VINTILEASCA,178475,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 19:18:06",612,576,0,21,15,383,347,0,21,15,362,21,650,267,1,4,69,13,268,7
41,VRANCEA,"ATENEUL POPULAR „MAIOR GHEORGHE PASTIA” FOCȘANI",3,"MUNICIPIUL FOCŞANI",174744,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 10:29:40",1413,1397,2,14,0,637,623,0,14,0,609,28,1540,903,15,24,220,55,226,69
41,VRANCEA,"BIBLIOTECA ORĂȘENEASCĂ ”ANA GEORGESCU”",85,"ORAŞ ODOBEŞTI",175019,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:03:18",1453,1437,4,4,8,758,746,0,4,8,735,23,1617,859,11,20,165,56,434,49
41,VRANCEA,"CAMIN CULTURAL",119,BROŞTENI,175466,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 14:30:21",1371,1358,3,6,4,806,795,1,6,4,756,50,1495,689,10,16,325,60,317,28
41,VRANCEA,"CAMIN CULTURAL",291,STRĂOANE,177799,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:37:22",771,766,0,4,1,426,421,0,4,1,416,10,841,415,5,11,57,79,214,50
41,VRANCEA,"CĂMIN CULTURAL",128,CÂRLIGELE,175732,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 16:44:19",1115,1083,1,6,25,574,543,0,6,25,551,22,1210,636,3,15,82,33,402,16
41,VRANCEA,"CĂMIN CULTURAL",107,BILIEŞTI,178929,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 22:55:09",1071,1047,1,17,6,623,600,0,17,6,588,35,1157,534,1,20,325,25,189,28
41,VRANCEA,"CĂMIN CULTURAL",106,BILIEŞTI,178929,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 11:17:43",1025,994,2,22,7,592,563,0,22,7,561,29,1108,516,4,10,290,27,193,37
41,VRANCEA,"CAMIN CULTURAL CALIENII-VECHI",224,NĂNEŞTI,176855,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 16:45:17",514,477,0,7,30,269,232,0,7,30,252,17,554,285,0,5,64,8,147,28
41,VRANCEA,"CAMIN CULTURAL CIORASTI",136,CIORĂŞTI,175590,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 11:08:15",655,647,0,1,7,326,318,0,1,7,295,31,714,388,5,8,210,22,47,3
41,VRANCEA,"CAMIN CULTURAL DUMBRAVENI",152,DUMBRĂVENI,175938,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:41:04",1662,1641,1,8,12,925,905,0,8,12,867,58,1814,889,4,25,284,64,469,21
41,VRANCEA,"CĂMIN CULTURAL FARAOANELE",333,VÂRTEŞCOIU,178689,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 08:37:29",980,962,0,6,12,559,541,0,6,12,525,34,1071,512,4,19,47,15,430,10
41,VRANCEA,"CĂMIN CULTURAL GOLEŞTI",176,GOLEŞTI,174824,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 19:05:21",1621,1608,1,2,10,771,761,0,2,8,750,21,1785,1014,12,37,140,93,382,86
41,VRANCEA,"CAMIN CULTURAL NANESTI",222,NĂNEŞTI,176855,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 16:09:34",984,928,0,6,50,571,515,0,6,50,549,22,1077,506,3,4,306,27,177,32
41,VRANCEA,"CĂMIN CULTURAL NEICU",99,"ORAŞ PANCIU",175055,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 17:22:20",505,498,1,6,0,248,242,0,6,0,231,17,553,305,2,11,60,36,99,23
41,VRANCEA,"CAMIN CULTURAL PĂULEȘTI",236,PĂULEŞTI,178910,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:14:39",583,570,0,2,11,377,364,0,2,11,344,33,640,263,0,3,109,9,181,42
41,VRANCEA,"CAMIN CULTURAL PAUNESTI",242,PĂUNEŞTI,177236,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 17:00:29",1079,1073,0,6,0,470,464,0,6,0,428,41,1169,700,60,7,209,46,72,34
41,VRANCEA,"CAMIN CULTURAL POIANA CRISTEI, PRIMARIA COMUNEI POIANA CRISTEI",247,"POIANA CRISTEI",177263,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 10:28:31",944,908,0,10,26,639,603,0,10,26,556,83,1024,385,6,15,91,49,297,98
41,VRANCEA,"CAMIN CULTURAL PRAHUDA",235,PALTIN,177101,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 16:48:55",420,411,0,1,8,262,253,0,1,8,252,10,458,196,1,6,80,10,154,1
41,VRANCEA,"CAMIN CULTURAL(SALA FESTIVITATI)",105,BÂRSEŞTI,175224,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:45:50",1145,1056,0,42,47,786,697,0,42,47,761,25,1216,430,2,11,363,37,334,14
41,VRANCEA,"CĂMIN CULTURAL SAT SPINEȘTI",357,VRÂNCIOAIA,178750,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 09:09:01",599,570,0,4,25,337,308,0,4,25,320,17,656,319,3,4,42,7,255,9
41,VRANCEA,"CĂMIN CULTURAL TĂTĂRANU",300,TĂTĂRANU,177986,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 14:45:01",1115,1071,0,9,35,558,514,0,9,35,528,30,1219,661,0,9,98,23,356,42
41,VRANCEA,"CĂMIN CULTURAL VERDEA",262,RĂCOASA,177405,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:58:34",556,540,1,3,12,336,320,1,3,12,300,36,607,271,1,7,45,78,159,10
41,VRANCEA,"CAMIN CULTURAL VIRTESCOIU",331,VÂRTEŞCOIU,178689,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 12:54:48",1275,1263,2,2,8,666,655,1,2,8,631,35,1401,735,3,33,101,56,401,37
41,VRANCEA,"CAMINUL CULTURAL",117,BORDEŞTI,175439,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-17 21:05:49",972,929,0,12,31,582,539,0,12,31,555,27,1049,467,8,24,187,32,223,81
41,VRANCEA,"CAMINUL CULTURAL",190,HOMOCEA,176445,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 16:05:15",1684,1658,0,7,19,466,440,0,7,19,452,14,1840,1374,10,42,327,17,53,3
41,VRANCEA,"CAMINUL CULTURAL",194,HOMOCEA,176445,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 16:36:40",995,979,0,3,13,514,498,0,3,13,494,20,1093,579,21,41,289,39,99,5
41,VRANCEA,"CĂMINUL CULTURAL",283,"SLOBOZIA CIORĂŞTI",177726,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:16:44",1069,1029,4,6,30,558,521,1,6,30,532,26,1166,608,5,40,65,55,347,20
41,VRANCEA,"CĂMINUL CULTURAL BOGZA",274,SIHLEA,177600,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-13 11:45:20",669,645,0,9,15,300,276,0,9,15,284,16,729,429,2,4,161,14,94,9
41,VRANCEA,"CAMINUL CULTURAL BUDESTI",149,COTEŞTI,175885,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 20:08:14",1476,1443,1,5,27,830,797,1,5,27,782,48,1621,791,8,25,151,123,274,201
41,VRANCEA,"CĂMINUL CULTURAL CÂNDEȘTI",153,DUMBRĂVENI,175938,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:50:10",1147,1120,2,13,12,643,617,1,13,12,619,24,1237,594,10,32,200,48,319,10
41,VRANCEA,"CĂMINUL CULTURAL ”DIMITRIE CANTEMIR”",210,MERA,176686,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:18:35",1064,1034,1,6,23,683,653,1,6,23,650,33,959,276,8,11,343,42,240,6
41,VRANCEA,"CĂMINUL CULTURAL HĂULIȘCA",238,PĂULEŞTI,178910,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:16:48",524,514,0,3,7,331,321,0,3,7,308,23,573,242,6,2,88,21,180,11
41,VRANCEA,"CĂMINUL CULTURAL „NICOLAE CIORĂSCU” GUGEŞTI",180,GUGEŞTI,176301,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:01:12",1594,1581,0,2,11,695,682,0,2,11,663,32,1743,1048,3,15,82,57,477,29
41,VRANCEA,"CĂMINUL CULTURAL RĂCOASA",258,RĂCOASA,177405,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 11:54:00",905,884,1,7,13,466,446,0,7,13,443,23,986,520,5,8,105,76,231,18
41,VRANCEA,"CAMINUL CULTURAL STRAOANE DE JOS",289,STRĂOANE,177799,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:01:54",1101,1097,2,2,0,555,553,0,2,0,531,24,1218,663,4,13,180,45,263,26
41,VRANCEA,"CAMINUL CULTURAL STRAOANE DE SUS",290,STRĂOANE,177799,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:24:29",710,702,1,7,0,364,356,1,7,0,349,15,777,413,2,8,63,79,174,23
41,VRANCEA,"CĂMINUL CULTURAL VASILE ȚIROIU BOLOTEȘTI",111,BOLOTEŞTI,175368,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:27:41",606,588,2,7,9,305,289,0,7,9,288,17,650,345,1,6,181,41,45,14
41,VRANCEA,"CASA OBŞTII TULNICI",310,TULNICI,178117,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:11:07",1165,1142,1,16,6,582,560,0,16,6,535,47,1260,678,4,12,383,39,89,8
41,VRANCEA,"CASA OBŞTII TULNICI",309,TULNICI,178117,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:36:29",1153,1140,0,9,4,595,582,0,9,4,553,42,1256,661,3,12,400,24,106,8
41,VRANCEA,"CASA PRAZNICALĂ CIOLĂNEȘTI",168,FITIONEŞTI,176150,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:22:34",140,129,1,10,0,80,70,0,10,0,79,1,141,61,0,1,26,7,28,17
41,VRANCEA,"CASA PRAZNICALĂ FITIONEȘTI",166,FITIONEŞTI,176150,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 12:05:19",653,641,1,8,3,358,347,0,8,3,336,22,705,346,7,10,63,36,154,66
41,VRANCEA,"CASA PRAZNICALĂ GHIMICEȘTI",169,FITIONEŞTI,176150,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:54:21",312,301,0,11,0,167,156,0,11,0,143,24,331,164,3,9,26,15,48,42
41,VRANCEA,"CENTRU COMUNITAR MULTIFUNCȚIONAL CORBIȚA",145,CORBIŢA,175787,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 23:00:47",257,255,0,2,0,147,145,0,2,0,138,9,279,132,3,5,49,6,71,4
41,VRANCEA,"CENTRU DE ZI, CANTINĂ SOCIALĂ ȘI ÎNGRIJIRE LA DOMICILIU PENTRU PERSOANE VÂRSTNICE",140,CIORĂŞTI,175590,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 09:42:56",274,265,0,4,5,176,167,0,4,5,158,18,296,120,1,3,113,29,10,2
41,VRANCEA,"CENTRUL DE RECUPERARE PENTRU PERSOANE CU HANDICAP",96,"ORAŞ PANCIU",175055,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:09:14",410,398,1,10,1,249,238,0,10,1,244,5,442,193,1,15,84,45,54,45
41,VRANCEA,"CENTRU PENTRU EDUCAȚIE TIMPURIE ”LUMEA COPIILOR”",89,"ORAŞ ODOBEŞTI",175019,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:45:51",779,769,0,8,2,470,460,0,8,2,459,11,863,393,6,13,99,35,252,54
41,VRANCEA,"COLEGIUL NAŢIONAL ”AL. I. CUZA”",22,"MUNICIPIUL FOCŞANI",174744,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 10:55:57",848,833,2,8,5,354,341,0,8,5,344,10,927,573,9,15,125,34,99,62
41,VRANCEA,"COLEGIUL NAȚIONAL „EMIL BOTTA” - CORP B - SALA DE FESTIVITĂȚI",60,"MUNICIPIUL ADJUD",174860,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 11:41:30",866,856,1,9,0,357,348,0,9,0,347,10,958,601,18,11,117,41,149,11
41,VRANCEA,"COLEGIUL NAȚIONAL PEDAGOGIC „SPIRU HARET” FOCȘANI",41,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:52:36",1608,1601,1,6,0,757,751,0,6,0,737,20,1768,1011,21,34,234,72,269,107
41,VRANCEA,"COLEGIUL NAŢIONAL ”UNIREA”",30,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 12:24:29",1096,1083,3,8,2,419,409,0,8,2,403,16,1200,781,4,22,108,31,182,56
41,VRANCEA,"COLEGIUL TEHNIC AUTO „TRAIAN VUIA”",8,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:27:57",679,670,2,7,0,337,330,0,7,0,327,10,745,408,4,12,120,32,109,50
41,VRANCEA,"COLEGIUL TEHNIC AUTO „TRAIAN VUIA”",9,"MUNICIPIUL FOCŞANI",174744,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 10:28:22",1044,1035,1,8,0,480,472,0,8,0,466,14,1139,659,14,19,175,40,163,55
41,VRANCEA,"COLEGIUL TEHNIC ”EDMOND NICOLAU”",34,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:37:37",1139,1131,0,8,0,491,483,0,8,0,475,16,1254,763,12,23,160,29,174,77
41,VRANCEA,"COLEGIUL TEHNIC „GHEORGHE ASACHI” FOCȘANI",23,"MUNICIPIUL FOCŞANI",174744,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:51:21",1314,1310,0,3,1,560,556,0,3,1,543,17,1472,912,8,26,156,54,201,98
41,VRANCEA,"COLEGIUL TEHNIC „GHEORGHE ASACHI” FOCȘANI",24,"MUNICIPIUL FOCŞANI",174744,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:54:02",1573,1560,3,10,0,624,613,1,10,0,609,15,1750,1126,7,30,207,56,236,73
41,VRANCEA,"COLEGIUL TEHNIC ”GHEORGHE BALŞ” A",69,"MUNICIPIUL ADJUD",174860,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:01:13",1398,1392,0,6,0,660,654,0,6,0,628,32,1535,875,122,28,201,57,207,13
41,VRANCEA,"COLEGIUL TEHNIC ”GHEORGHE BALŞ” B",70,"MUNICIPIUL ADJUD",174860,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-13 14:22:26",1205,1197,0,7,1,506,498,0,7,1,488,18,1324,818,103,30,160,35,146,14
41,VRANCEA,"COLEGIUL TEHNIC „ION MINCU” FOCȘANI",26,"MUNICIPIUL FOCŞANI",174744,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 14:25:05",944,937,0,7,0,412,405,0,7,0,397,15,1041,629,7,14,161,31,124,60
41,VRANCEA,"COLEGIUL TEHNIC „ION MINCU” FOCȘANI",27,"MUNICIPIUL FOCŞANI",174744,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 10:07:34",861,853,1,7,0,359,352,0,7,0,343,16,943,584,4,22,109,59,101,48
41,VRANCEA,"COLEGIUL TEHNIC „ION MINCU” FOCȘANI",25,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:36:43",994,984,0,8,2,392,382,0,8,2,381,11,1085,693,6,19,116,52,137,51
41,VRANCEA,"COLEGIUL TEHNIC ”VALERIU D. COTEA”",21,"MUNICIPIUL FOCŞANI",174744,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 20:53:36",1265,1233,3,11,18,573,549,0,11,13,549,17,1371,801,12,30,174,51,213,69
41,VRANCEA,"CONSILIUL LOCAL TĂNĂSOAIA",296,TĂNĂSOAIA,177879,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 16:07:51",689,653,0,10,26,445,409,0,10,26,420,25,768,323,18,12,73,73,127,117
41,VRANCEA,"CONSILIUL LOCAL URECHEŞTI",318,URECHEŞTI,178279,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:08:23",1740,1727,1,12,0,866,853,1,12,0,831,35,1898,1032,2,20,579,60,149,21
41,VRANCEA,CREȘĂ,172,GAROAFA,176212,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:07:08",580,574,0,6,0,296,290,0,6,0,283,13,635,339,0,5,179,29,63,7
41,VRANCEA,"CᾸMIN CULTURAL SLOBOZIA BOTEṢTI",206,MĂICĂNEŞTI,176613,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:09:19",213,191,1,14,7,124,103,0,14,7,115,9,222,98,1,0,100,3,9,2
41,VRANCEA,"DIRECŢIA JUDEŢEANĂ A SPORTURILOR VRANCEA",37,"MUNICIPIUL FOCŞANI",174744,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 16:32:29",1364,1350,1,13,0,564,551,0,13,0,546,18,1494,930,11,24,163,58,216,74
41,VRANCEA,"DIRECŢIA SANITAR-VETERINARĂ",55,"MUNICIPIUL FOCŞANI",174744,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 11:55:56",1826,1805,4,10,7,858,841,0,10,7,834,24,2002,1144,10,31,302,75,298,118
41,VRANCEA,"DIRECTIA SILVICĂ VRANCEA",1,"MUNICIPIUL FOCŞANI",174744,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 17:31:21",1327,1313,1,13,0,590,577,0,13,0,561,28,1450,860,11,35,161,53,240,61
41,VRANCEA,"DISPENSARUL UMAN MIRCEŞTII VECHI",328,VÂNĂTORI,178607,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:47:59",279,272,1,6,0,143,136,1,6,0,139,4,299,156,3,2,43,22,55,14
41,VRANCEA,"FOSTA SCOALA GENERALA BORDEASCA NOUA",301,TĂTĂRANU,177986,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 08:51:35",336,307,0,16,13,170,141,0,16,13,158,12,366,196,2,1,24,8,115,8
41,VRANCEA,"FOSTA SCOALA GENERALA MARTINESTI",304,TĂTĂRANU,177986,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 13:59:45",510,492,2,4,12,259,241,2,4,12,244,14,579,321,2,9,48,8,172,5
41,VRANCEA,"FOSTA SCOALA GENERALA NR. 1 BORDEASCA VECHE",303,TĂTĂRANU,177986,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:57:00",839,829,0,1,9,412,402,0,1,9,392,20,922,510,6,6,102,18,247,13
41,VRANCEA,"FOSTA SCOALA PRIMARA VIJIITOAREA",305,TĂTĂRANU,177986,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 14:32:26",180,170,0,10,0,99,89,0,10,0,94,5,186,87,2,2,26,6,51,7
41,VRANCEA,GRĂDINIȚĂ,131,CÂRLIGELE,175732,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 20:24:55",552,524,0,7,21,336,308,0,7,21,325,11,599,261,3,9,28,18,257,10
41,VRANCEA,"GRĂDINIŢA CIORANI",256,PUFEŞTI,177352,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 12:20:35",811,802,1,8,0,435,427,0,8,0,403,32,882,447,13,11,59,175,123,22
41,VRANCEA,"GRĂDINIȚA CU PROGRAM NORMAL CHIOJDENI",132,CHIOJDENI,175509,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 19:55:45",518,492,0,12,14,331,305,0,12,14,321,10,553,222,2,2,125,3,186,3
41,VRANCEA,"GRĂDINIȚA CU PROGRAM NORMAL DUMBRAVA",97,"ORAŞ PANCIU",175055,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 18:44:56",405,400,1,4,0,188,184,0,4,0,179,9,438,250,1,3,64,26,59,26
41,VRANCEA,"GRĂDINIȚA CU PROGRAM NORMAL GOLOGANU",178,GOLOGANU,178938,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:28:16",1136,1115,0,8,13,647,626,0,8,13,620,27,1239,592,14,16,104,130,293,63
41,VRANCEA,"GRĂDINIȚA CU PROGRAM NORMAL JILIȘTE",284,"SLOBOZIA CIORĂŞTI",177726,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 13:43:47",581,568,1,6,6,314,301,1,6,6,290,24,633,319,6,7,24,36,205,12
41,VRANCEA,"GRĂDINIŢA CU PROGRAM NORMAL JORĂŞTI",326,VÂNĂTORI,178607,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-13 11:35:00",1289,1280,1,6,2,656,648,0,6,2,611,45,1411,755,8,39,152,105,216,91
41,VRANCEA,"GRĂDINIȚA CU PROGRAM NORMAL LĂMOTEȘTI",215,MILCOVUL,176748,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 17:22:37",878,869,0,2,7,486,477,0,2,7,452,34,965,479,7,13,118,34,210,70
41,VRANCEA,"GRĂDINIȚA CU PROGRAM NORMAL MILCOVUL",213,MILCOVUL,176748,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 17:12:32",995,986,1,0,8,539,531,0,0,8,516,23,1094,555,7,6,106,39,291,67
41,VRANCEA,"GRĂDINIȚA CU PROGRAM NORMAL MILCOVUL",214,MILCOVUL,176748,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:16:21",1047,1036,1,1,9,547,537,0,1,9,536,11,1148,601,3,12,114,40,271,96
41,VRANCEA,"GRĂDINIȚA CU PROGRAM NORMAL NR.1",98,"ORAŞ PANCIU",175055,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-19 17:19:22",701,688,1,12,0,368,356,0,12,0,354,13,758,390,4,20,103,62,107,58
41,VRANCEA,"GRĂDINIȚA CU PROGRAM NORMAL NR.1 FITIONEȘTI",167,FITIONEŞTI,176150,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:18:48",511,505,0,4,2,294,288,0,4,2,276,18,558,264,14,12,69,30,105,46
41,VRANCEA,"GRĂDINIȚA CU PROGRAM NORMAL NR.1 NĂRUJA",225,NĂRUJA,176891,5,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 14:05:53",971,935,0,6,30,620,584,0,6,30,603,15,1062,444,0,6,51,46,493,7
41,VRANCEA,"GRĂDINIȚA CU PROGRAM NORMAL NR.2 POPEȘTI",253,POPEŞTI,178901,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:19:57",904,897,0,5,2,524,517,0,5,2,504,20,994,470,4,24,144,110,203,19
41,VRANCEA,"GRĂDINIȚA CU PROGRAM NORMAL NR. 2 SURAIA",295,SURAIA,177842,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 18:42:08",1588,1556,2,14,16,799,768,1,14,16,752,47,1720,921,10,19,443,16,216,48
41,VRANCEA,"GRĂDINIȚA CU PROGRAM NORMAL NR.3 GUGEŞTI",182,GUGEŞTI,176301,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:42:08",877,858,2,8,9,403,386,0,8,9,384,19,955,552,6,17,71,34,236,20
41,VRANCEA,"GRĂDINIȚA CU PROGRAM NORMAL NR.3 (STRUCTURA CARAGEA)",88,"ORAŞ ODOBEŞTI",175019,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:31:47",914,899,0,13,2,458,443,0,13,2,440,18,1000,542,6,24,103,27,248,32
41,VRANCEA,"GRĂDINIŢA CU PROGRAM NORMAL NR. 4 FOCȘANI",57,"MUNICIPIUL FOCŞANI",174744,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 11:41:27",1552,1543,3,6,0,672,666,0,6,0,640,32,1700,1028,17,22,228,58,244,71
41,VRANCEA,"GRĂDINIȚA CU PROGRAM NORMAL NR. 4 (STRUCTURA UNIREA)",90,"ORAŞ ODOBEŞTI",175019,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:50:50",1622,1611,1,6,4,727,717,0,6,4,693,34,1786,1059,12,28,127,89,382,55
41,VRANCEA,"GRĂDINIȚA CU PROGRAM NORMAL PALTIN",234,PALTIN,177101,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 16:48:49",1091,1056,0,6,29,759,724,0,6,29,728,31,1183,424,5,20,231,25,435,12
41,VRANCEA,"GRĂDINIŢA CU PROGRAM NORMAL RĂDULEŞTI",330,VÂNĂTORI,178607,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:54:13",707,701,1,5,0,346,340,1,5,0,318,28,775,429,4,16,92,49,140,17
41,VRANCEA,"GRĂDINIŢA CU PROGRAM NORMAL RUCĂRENI",286,SOVEJA,177762,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:04:41",698,665,1,10,22,413,381,0,10,22,393,20,747,334,8,3,261,12,95,14
