precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"SASU REMUS-GABRIEL-PARTIDUL SOCIAL DEMOCRAT-voturi","HODOROG DĂNUŢ-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PĂTRU MIHAI-PARTIDUL NAȚIONAL LIBERAL-voturi","IORDACHE GHEORGHE-BOGDAN-FORȚA DREPTEI-voturi","BUŞE SIMONA-LUCIA-PARTIDUL S.O.S. ROMÂNIA-voturi"
40,VÂLCEA,"FOSTA ȘCOALA CU CLASELE I-VIII OCNIŢA",157,"ORAŞ OCNELE MARI",168130,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:13:28",1440,1368,0,54,18,1016,944,0,54,18,988,28,1510,494,479,11,470,15,13
40,VÂLCEA,"ȘCOALA GIMNAZIALĂ COSTEA MARINOIU OCNELE MARI",156,"ORAŞ OCNELE MARI",168130,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:30:26",1370,1320,0,30,20,970,920,0,30,20,943,27,1500,530,565,14,355,3,6
