precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL ȚĂRĂNESC MANIU-MIHALACHE-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","POENAR IOAN-voturi"
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL DUMBRĂVENI",123,CICEU-GIURGEŞTI,32955,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:48:37",485,420,0,24,41,485,420,0,24,41,347,25,492,120,83,50,157,6,21,27,3
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ CICEU-GIURGEŞTI",122,CICEU-GIURGEŞTI,32955,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:30:52",726,678,0,20,28,500,452,0,20,28,476,24,749,249,178,47,133,27,42,44,5
