precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MUNTEANU IOAN-GHEORGHE-PARTIDUL SOCIAL DEMOCRAT-voturi","IACOB VASILE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ABRUDEAN FLORIN-SORIN-PARTIDUL ROMÂNIA PUTERNICĂ-voturi","IDORAŞI ADRIAN-CORNEL-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
37,TIMIŞ,"CĂMINUL CULTURAL LIEBLING",454,LIEBLING,157497,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:41:56",1514,1501,2,4,7,742,730,1,4,7,711,31,1676,934,304,173,90,144
37,TIMIŞ,"CĂMINUL CULTURAL SATUL IOSIF",457,LIEBLING,157497,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:04:53",328,325,0,2,1,174,172,0,2,0,168,6,400,226,69,42,26,31
37,TIMIŞ,"CLADIREA FOSTEI PRIMARII DIN CERNA",456,LIEBLING,157497,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:19:52",206,199,0,7,0,112,105,0,7,0,106,6,200,88,78,13,9,6
37,TIMIŞ,"ȘCOALA GIMNAZIALĂ LIEBLING",455,LIEBLING,157497,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:53:42",1307,1292,3,7,5,697,682,3,7,5,669,28,1400,703,297,173,100,99
