precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALECU NICULAE-PARTIDUL NAȚIONAL LIBERAL-voturi","RADU ILIE-PARTIDUL SOCIAL DEMOCRAT-voturi"
16,DÂMBOVIŢA,"GRĂDINIȚA BRÂNCOVEANU",323,ODOBEŞTI,68342,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:40:21",496,495,0,1,0,353,352,0,1,0,345,8,545,192,152,193
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ CROVU",324,ODOBEŞTI,68342,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:37:15",1107,1102,0,4,1,798,793,0,4,1,754,44,1213,415,297,457
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ODOBEȘTI",322,ODOBEŞTI,68342,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:35:48",1287,1270,2,15,0,928,913,0,15,0,896,32,1398,470,398,498
16,DÂMBOVIŢA,"ȘCOALA PRIMARĂ MIULEȘTI",325,ODOBEŞTI,68342,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:27:11",448,443,0,5,0,323,318,0,5,0,317,6,487,164,150,167
16,DÂMBOVIŢA,"ȘCOALA PRIMARĂ ZIDURILE",326,ODOBEŞTI,68342,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:36:41",660,650,0,9,1,471,461,0,9,1,459,12,715,244,175,284
