precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DOBRE MARIAN-ION-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BUCUR FLORIN-OCTAVIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","MAXIM RADU-ADRIAN-PARTIDUL ROMÂNIA PUTERNICĂ-voturi","BOGDAN EUSEBIO-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","LIONTI MIHAI-DANIEL-INDEPENDENȚII COMUNEI MOȘNIȚA-voturi","ZAMFIROIU ALIN-CONSTANTIN-PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","SIMONIS GERALD-OSCAR-voturi"
37,TIMIŞ,"CLĂDIREA COMUNEI MOȘNIȚA NOUĂ FOSTA ȘCOALĂ PRIMARĂ ALBINA",481,"MOŞNIŢA NOUĂ",157834,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:53:59",415,399,0,16,0,270,254,0,16,0,262,8,600,330,9,197,1,9,0,5,41
37,TIMIŞ,"ȘCOALA GIMNAZIALĂ COMUNA MOȘNIȚA NOUĂ",480,"MOŞNIŢA NOUĂ",157834,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:30:48",1368,1342,0,25,1,871,845,0,25,1,860,11,1600,729,39,237,6,88,13,16,461
37,TIMIŞ,"ȘCOALA GIMNAZIALĂ COMUNA MOȘNIȚA NOUĂ",479,"MOŞNIŢA NOUĂ",157834,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:34:43",1467,1437,8,15,7,783,761,0,15,7,765,18,1600,817,32,287,2,62,14,33,335
37,TIMIŞ,"ȘCOALA GIMNAZIALĂ MOȘNIȚA NOUĂ",478,"MOŞNIŢA NOUĂ",157834,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:34:01",1757,1721,5,31,0,1112,1081,0,31,0,1102,10,1800,688,27,285,3,97,31,59,600
37,TIMIŞ,"ȘCOALA GIMNAZIALĂ MOȘNIȚA NOUĂ",477,"MOŞNIŢA NOUĂ",157834,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:26:05",1572,1555,4,6,7,886,873,0,6,7,848,38,1700,814,23,366,4,30,41,13,371
37,TIMIŞ,"ŞCOALA PRIMARĂ MOŞNIŢA VECHE",482,"MOŞNIŢA NOUĂ",157834,2,PART,PRCNCT,P,P_SV,"2024-06-10 12:47:05",1732,1716,8,8,0,937,929,0,8,0,903,34,1799,862,52,332,9,50,34,26,400
37,TIMIŞ,"ŞCOALA PRIMARĂ MOŞNIŢA VECHE",483,"MOŞNIŢA NOUĂ",157834,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:18:44",1639,1607,18,14,0,1029,1013,2,14,0,1015,14,1600,571,41,227,4,91,29,21,602
37,TIMIŞ,"ȘCOALA PRIMARĂ MOȘNIȚA VECHE",484,"MOŞNIŢA NOUĂ",157834,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:04:08",1885,1849,12,24,0,1192,1168,0,24,0,1171,18,2000,811,17,331,7,167,7,47,595
37,TIMIŞ,"ŞCOALA PRIMARĂ URSENI",485,"MOŞNIŢA NOUĂ",157834,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:54:01",1207,1184,7,12,4,676,660,0,12,4,660,12,1200,528,33,171,17,61,7,18,353
37,TIMIŞ,"ȘCOALA PRIMARĂ URSENI",486,"MOŞNIŢA NOUĂ",157834,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:39:56",1125,1107,7,9,2,622,611,0,9,2,596,26,1177,555,43,213,26,59,4,9,242
