precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi"
35,SUCEAVA,"CĂMIN CULTURAL MIHAI BOLEAC",226,BOROAIA,147072,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:49:05",802,796,0,0,6,386,380,0,0,6,373,13,800,414,60,266,35,12
35,SUCEAVA,"GRĂDINIŢA CU PROGRAM NORMAL BĂRĂŞTI",228,BOROAIA,147072,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:59:46",861,855,0,3,3,423,417,0,3,3,406,17,1000,577,39,309,48,10
35,SUCEAVA,"ŞCOALA GIMNAZIALĂ MOIŞA",230,BOROAIA,147072,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:58:34",541,531,0,10,0,242,232,0,10,0,232,10,600,358,36,182,11,3
35,SUCEAVA,"ȘCOALA PRIMARĂ",229,BOROAIA,147072,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:20:50",474,472,0,2,0,228,226,0,2,0,209,19,600,372,20,135,42,12
35,SUCEAVA,"ŞCOALA PRIMARĂ NR.2 BOROAIA",227,BOROAIA,147072,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:13:19",722,715,0,6,1,294,287,0,6,1,284,10,741,447,46,212,8,18
35,SUCEAVA,"ŞCOALA PRIMARĂ SĂCUŢA",231,BOROAIA,147072,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:28:28",438,429,0,7,2,186,177,0,7,2,174,12,500,314,19,149,6,0
