precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi"
14,CONSTANŢA,"ŞCOALA GIMNAZIALĂ ”MIHAI EMINESCU” COSTINEŞTI",416,COSTINEŞTI,63286,4,PART,PRCNCT,CL,CL_SV,"2024-06-10 22:24:51",1013,979,7,18,9,678,644,7,18,9,657,15,1065,393,135,171,301,29,12,9
14,CONSTANŢA,"ŞCOALA PRIMARA” ION CREANGA” SCHITU",417,COSTINEŞTI,63286,3,PART,PRCNCT,CL,CL_SV,"2024-06-11 10:18:13",1955,1905,6,29,15,1271,1225,2,29,15,1252,19,1961,690,287,492,363,36,23,51
