precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
12,CĂLĂRAŞI,"SCOALA GIMNAZIALA NR. 1 BELCIUGATELE",84,BELCIUGATELE,101083,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:16:28",1357,1200,8,106,43,1036,887,0,106,43,1009,23,1302,270,468,358,183
12,CĂLĂRAŞI,"SCOALA PRIMARA MARIUTA",85,BELCIUGATELE,101083,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:28:54",424,396,0,21,7,329,301,0,21,7,321,8,500,171,127,180,14
