precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL OLTENILOR-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL LIGA ACȚIUNII NAȚIONALE-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
17,DOLJ,"ANEXĂ ȘCOALĂ",491,SOPOT,74242,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:59:12",276,265,0,2,9,181,170,0,2,9,168,13,300,119,25,117,21,0,4,0,1
17,DOLJ,"BIBLIOTECA ORĂȘENEASCĂ ANTON PANN",210,"ORAŞ FILIAŞI",70414,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:58:27",1340,1330,1,6,3,715,706,0,6,3,691,24,1461,746,117,415,72,9,22,10,46
17,DOLJ,"BIBLIOTECA ORASENEASCA BECHET",202,"ORAŞ BECHET",70879,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:24:53",1303,1265,0,17,21,564,526,0,17,21,529,35,1400,836,149,312,19,2,12,0,35
17,DOLJ,"BIBLIOTECA ORĂŞENEASCĂ MIRCEA RĂDINA",223,"ORAŞ ŞEGARCEA",70502,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:51:06",1549,1526,0,19,4,990,967,0,19,4,942,48,1700,710,475,411,29,12,0,0,15
17,DOLJ,"CAMIN CULTURAL",359,GHINDENI,74915,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:20:06",1696,1543,1,109,43,1136,983,1,109,43,1036,100,1673,537,326,439,98,3,32,9,129
17,DOLJ,"CAMIN CULTURAL",314,COŞOVENI,71885,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:45:51",969,940,0,16,13,646,617,0,16,13,585,61,1055,409,92,400,33,0,10,0,50
17,DOLJ,"CĂMIN CULTURAL",517,URZICUŢA,74554,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:22:42",398,379,0,19,0,272,253,0,19,0,258,14,500,228,77,159,4,0,5,5,8
17,DOLJ,"CĂMIN CULTURAL",235,"APELE VII",70726,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 14:47:29",1779,1629,0,97,53,1276,1126,0,97,53,1200,76,1790,514,525,612,22,10,14,0,17
17,DOLJ,"CĂMIN CULTURAL",465,ROBĂNEŞTI,73923,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:00:28",508,478,0,21,9,368,338,0,21,9,347,21,595,227,41,236,20,3,17,4,26
17,DOLJ,"CĂMIN CULTURAL",258,BRATOVOEŞTI,71199,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:15:28",1172,1130,0,31,11,663,621,0,31,11,633,30,1221,558,52,473,48,1,19,0,40
17,DOLJ,"CAMIN CULTURAL ALBESTI",495,"ŞIMNICU DE SUS",70174,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:00:09",1290,1232,2,56,0,749,693,0,56,0,704,45,1309,560,108,434,51,14,38,17,42
17,DOLJ,"CAMIN CULTURAL DUDOVICESTI",496,"ŞIMNICU DE SUS",70174,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:52:13",1015,973,3,38,1,550,512,0,38,0,523,27,1000,450,56,260,96,15,20,5,71
17,DOLJ,"CAMIN CULTURAL FÂNTÂNELE",461,RADOVAN,73852,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:31:27",95,69,0,19,7,71,45,0,19,7,62,9,100,29,10,41,4,0,4,0,3
17,DOLJ,"CAMIN CULTURAL FLORESTI",497,"ŞIMNICU DE SUS",70174,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:20:02",673,638,0,35,0,363,328,0,35,0,349,14,800,437,33,174,70,9,16,1,46
17,DOLJ,"CAMIN CULTURAL GHIZDAVESTI",296,CELARU,71634,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:43:58",1208,1154,0,29,25,833,779,0,29,25,758,75,1300,467,224,448,61,0,14,3,8
17,DOLJ,"CAMIN CULTURAL GIUBEGA",363,GIUBEGA,72506,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:23:57",911,818,2,67,24,614,524,0,67,23,563,51,913,299,288,200,36,0,26,4,9
17,DOLJ,"CAMIN CULTURAL GOIESTI SALA",373,GOIEŞTI,72677,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:26:03",1203,1143,3,38,19,840,784,0,37,19,747,49,1187,347,409,207,32,6,52,14,27
17,DOLJ,"CAMIN CULTURAL MAROTINU DE JOS",297,CELARU,71634,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:21:58",509,465,1,23,20,327,284,0,23,20,305,22,500,173,138,129,24,0,4,1,9
17,DOLJ,"CAMIN CULTURAL MAROTINU DE SUS",298,CELARU,71634,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:00:59",450,417,0,19,14,272,239,0,19,14,260,12,500,228,96,152,7,1,3,1,0
17,DOLJ,"CĂMIN CULTURAL SĂLCUȚA",281,CALOPĂR,71457,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:11:58",972,914,0,54,4,463,405,0,54,4,438,25,1000,537,156,265,10,3,3,0,1
