precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
2,ARAD,"BIBLIOTECA ORAȘULUI SÂNTANA",165,"ORAŞ SÂNTANA",12091,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:21:07",1012,1005,0,4,3,276,269,0,4,3,260,16,1110,834,157,36,55,12
2,ARAD,"CĂMIN CULTURAL SATU NOU",166,"ORAŞ SÂNTANA",12091,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:07:55",1077,1068,0,5,4,549,540,0,5,4,535,14,1180,631,316,108,87,24
2,ARAD,"CĂMINUL CULTURAL CAPORAL ALEXA",168,"ORAŞ SÂNTANA",12091,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:23:41",1199,1188,1,3,7,578,568,0,3,7,557,21,1323,745,270,150,100,37
2,ARAD,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 1 SÂNTANA (CU 8 SĂLI DE GRUPĂ) - SALĂ MULTIFUNCȚIONALĂ",159,"ORAŞ SÂNTANA",12091,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:18:35",1292,1282,2,8,0,442,432,2,8,0,421,8,1420,991,197,149,60,15
2,ARAD,"GRĂDINIȚA PP NR. 1 SÂNTANA",167,"ORAŞ SÂNTANA",12091,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:59:42",922,916,0,5,1,427,421,0,5,1,408,19,1010,583,236,84,67,21
2,ARAD,"GRĂDINIȚA PP NR. 2 SÂNTANA",164,"ORAŞ SÂNTANA",12091,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:28:03",1666,1653,1,8,4,364,352,0,8,4,325,39,1830,1466,186,58,63,18
2,ARAD,"GRĂDINIȚA PP NR. 2 SÂNTANA",163,"ORAŞ SÂNTANA",12091,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:14:27",1323,1312,1,6,4,502,491,1,6,4,485,17,1460,958,245,120,99,21
2,ARAD,"LICEUL TEHNOLOGIC STEFAN HELL SÂNTANA",160,"ORAŞ SÂNTANA",12091,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:57:58",1694,1678,7,7,2,594,585,0,7,2,578,16,1850,1256,261,146,134,37
2,ARAD,"ȘCOALA GIMNAZIALĂ SÂNTANA",162,"ORAŞ SÂNTANA",12091,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:15:18",1463,1455,0,5,3,555,547,0,5,3,540,15,1610,1055,294,121,107,18
2,ARAD,"ȘCOALA GIMNAZIALĂ ”SFÂNTA ANA” SÂNTANA",161,"ORAŞ SÂNTANA",12091,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 02:38:06",1049,1040,1,8,0,330,322,0,8,0,313,17,1150,820,152,67,70,24
