precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ŞOIMAN VASILE-PARTIDUL NAȚIONAL LIBERAL-voturi","CHIDEŞA IULIAN-PETRU-PARTIDUL SOCIAL DEMOCRAT-voturi"
35,SUCEAVA,"ŞCOALA GIMNAZIALA NEGOSTINA",217,BĂLCĂUŢI,146995,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:43:09",1084,1044,0,10,30,658,618,0,10,30,650,8,1200,542,97,553
35,SUCEAVA,"ŞCOALA PRIMARA GROPENI",216,BĂLCĂUŢI,146995,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:40:39",312,299,0,6,7,160,147,0,6,7,153,7,375,215,100,53
35,SUCEAVA,"SEDIUL PRIMĂRIEI COMUNEI BĂLCĂUŢI",215,BĂLCĂUŢI,146995,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:54:56",1236,1206,0,7,23,568,538,0,7,23,564,4,1300,732,464,100
