precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CANCIU CĂTĂLIN-PARTIDUL NAȚIONAL LIBERAL-voturi","DRAGOMIR VIOREL-MARIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","CÎRLIGEA FLORIN-EUGEN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BUCĂ DORIN-PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","MUSCELEANU GABRIEL-MONU-PARTIDUL S.O.S. ROMÂNIA-voturi","GURGU MARCEL-PARTIDUL SOCIALIST ROMÂN-voturi","CIOCAN NICUŞOR-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
9,BRĂILA,"ŞCOALA GIMNAZIALĂ NR. 6 „CONSTANTIN SANDU ALDEA”",79,"MUNICIPIUL BRĂILA",42682,2,PART,PRCNCT,P,P_SV,"2024-06-10 05:41:49",1106,1096,1,9,0,448,439,0,9,0,437,11,1250,802,54,268,38,20,21,4,32
9,BRĂILA,"ŞCOALA GIMNAZIALĂ NR. 6 „CONSTANTIN SANDU ALDEA”",80,"MUNICIPIUL BRĂILA",42682,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:04:15",1130,1126,1,3,0,504,501,0,3,0,496,8,1250,746,42,320,49,17,12,4,52
9,BRĂILA,"ŞCOALA GIMNAZIALĂ NR. 7 „ION CREANGĂ”",58,"MUNICIPIUL BRĂILA",42682,3,PART,PRCNCT,P,P_SV,"2024-06-10 11:41:38",1063,1055,0,8,0,402,394,0,8,0,384,11,1200,805,48,253,24,10,17,4,28
9,BRĂILA,"ȘCOALA GIMNAZIALĂ NR. 7 „ION CREANGĂ”",60,"MUNICIPIUL BRĂILA",42682,3,PART,PRCNCT,P,P_SV,"2024-06-10 15:10:59",883,844,0,7,32,383,344,0,7,32,375,8,950,567,31,231,43,12,22,7,29
9,BRĂILA,"ȘCOALA GIMNAZIALĂ NR. 7 „ION CREANGĂ”",59,"MUNICIPIUL BRĂILA",42682,3,PART,PRCNCT,P,P_SV,"2024-06-10 17:26:43",906,899,1,6,0,351,345,0,6,0,341,10,999,648,30,192,38,18,19,2,42
9,BRĂILA,"ŞCOALA GIMNAZIALĂ NR. 8 „ION BĂNCILĂ”",48,"MUNICIPIUL BRĂILA",42682,2,PART,PRCNCT,P,P_SV,"2024-06-10 04:19:33",1040,1034,1,5,0,413,408,0,5,0,402,11,1150,737,37,261,42,15,15,7,25
9,BRĂILA,"ŞCOALA GIMNAZIALĂ NR. 8 „ION BĂNCILĂ”",51,"MUNICIPIUL BRĂILA",42682,2,PART,PRCNCT,P,P_SV,"2024-06-10 05:05:22",656,646,2,8,0,249,241,0,8,0,237,12,800,551,22,157,20,14,4,5,15
9,BRĂILA,"ŞCOALA GIMNAZIALĂ NR. 8 „ION BĂNCILĂ”",49,"MUNICIPIUL BRĂILA",42682,2,PART,PRCNCT,P,P_SV,"2024-06-10 12:38:29",685,680,0,5,0,278,273,0,5,0,271,7,750,472,26,183,23,12,2,2,23
9,BRĂILA,"ŞCOALA GIMNAZIALĂ NR. 8 „ION BĂNCILĂ”",50,"MUNICIPIUL BRĂILA",42682,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:22:02",623,617,1,5,0,268,263,0,5,0,257,11,700,432,26,165,22,7,12,5,20
9,BRĂILA,"ŞCOALA GIMNAZIALĂ NR. 8 „ION BĂNCILĂ”",47,"MUNICIPIUL BRĂILA",42682,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:52:59",1302,1293,2,7,0,490,483,0,7,0,474,16,1450,960,40,304,58,20,15,8,29
9,BRĂILA,"ŞCOALA GIMNAZIALĂ NR. 9 „ANTON PANN”",106,"MUNICIPIUL BRĂILA",42682,2,PART,PRCNCT,P,P_SV,"2024-06-10 14:16:09",1304,1298,0,5,1,499,493,0,5,1,473,23,1421,925,23,346,52,6,36,1,9
9,BRĂILA,"ŞCOALA GIMNAZIALĂ NR. 9 „ANTON PANN”",104,"MUNICIPIUL BRĂILA",42682,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:00:54",1193,1187,1,5,0,407,402,0,5,0,393,14,1300,893,13,294,50,2,19,6,9
9,BRĂILA,"ŞCOALA GIMNAZIALĂ NR. 9 „ANTON PANN”",105,"MUNICIPIUL BRĂILA",42682,2,PART,PRCNCT,P,P_SV,"2024-06-10 12:43:22",1211,1205,1,5,0,457,452,0,5,0,436,21,1350,893,15,328,43,4,30,4,12
9,BRĂILA,"ŞCOALA GIMNAZIALĂ NR. 9 „ANTON PANN”",107,"MUNICIPIUL BRĂILA",42682,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:10:54",1307,1294,7,6,0,546,540,0,6,0,529,17,1450,904,42,354,42,17,38,9,27
9,BRĂILA,"ȘCOALA GIMNAZIALĂ „RADU TUDORAN”",115,"MUNICIPIUL BRĂILA",42682,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:20:12",1357,1350,1,5,1,449,443,0,5,1,432,17,1500,1051,26,292,56,11,21,3,23
