precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"SAVA CONSTANTIN-PARTIDUL SOCIAL DEMOCRAT-voturi","MARTINESCU OANA-ALEXANDRA-PARTIDUL NAȚIONAL LIBERAL-voturi","STOIAN RODICA-MIHAIELA-PARTIDUL S.O.S. ROMÂNIA-voturi","IORDĂNESCU ANDREI-NICOLAE-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","GHINEA VALENTINA-MIHAELA-voturi"
23,IALOMIŢA,"CASA DE CULTURĂ",62,"MUNICIPIUL URZICENI",100683,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:38:41",1123,1114,0,9,0,564,555,0,9,0,548,16,1290,726,228,197,21,62,40
23,IALOMIŢA,"CLUBUL SINDICATELOR",65,"MUNICIPIUL URZICENI",100683,3,PART,PRCNCT,P,P_SV,"2024-06-14 13:07:27",1541,1529,0,11,1,740,728,0,11,1,716,24,1740,1000,277,280,24,63,72
23,IALOMIŢA,"GRĂDINIŢA CU PROGRAM PRELUNGIT",59,"MUNICIPIUL URZICENI",100683,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:42:25",639,631,0,8,0,327,319,0,8,0,319,8,770,443,134,87,7,63,28
23,IALOMIŢA,"GRĂDINIŢA DE COPII",61,"MUNICIPIUL URZICENI",100683,2,PART,PRCNCT,P,P_SV,"2024-06-14 18:24:58",942,929,3,8,2,470,460,0,8,2,458,12,1040,570,172,161,17,67,41
23,IALOMIŢA,"GRUPUL ŞCOLAR ’’SF. ECATERINA’’",63,"MUNICIPIUL URZICENI",100683,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:39:49",1229,1221,0,7,1,620,612,0,7,1,611,9,1440,820,240,227,20,79,45
23,IALOMIŢA,"INTERNATUL COLEGIULUI NATIONAL GRIGORE MOISIL",68,"MUNICIPIUL URZICENI",100683,2,PART,PRCNCT,P,P_SV,"2024-06-13 12:27:36",1056,1054,0,2,0,502,500,0,2,0,493,9,1190,688,174,175,18,47,79
23,IALOMIŢA,"LICEUL TEHNOLOGIC URZICENI",69,"MUNICIPIUL URZICENI",100683,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:24:12",1649,1648,1,0,0,777,777,0,0,0,750,27,1868,1091,216,384,31,54,65
23,IALOMIŢA,"ŞCOALA CU CLASELE I-VIII NR.3 DIN URZICENI",60,"MUNICIPIUL URZICENI",100683,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:53:45",1268,1255,0,11,2,583,570,0,11,2,565,18,1420,837,211,247,24,40,43
23,IALOMIŢA,"SCOALA GENERALA ALEXANDRU ODOBESCU",64,"MUNICIPIUL URZICENI",100683,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:47:43",1076,1065,2,9,0,565,556,0,9,0,553,12,1240,675,226,190,17,74,46
23,IALOMIŢA,"ŞCOALA GENERALĂ ION HELIADE RADULESCU",66,"MUNICIPIUL URZICENI",100683,2,PART,PRCNCT,P,P_SV,"2024-06-10 11:19:11",1376,1372,0,4,0,639,635,0,4,0,564,75,1590,951,262,185,19,45,53
23,IALOMIŢA,"ŞCOALA GENERALĂ ION HELIADE RADULESCU",67,"MUNICIPIUL URZICENI",100683,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:49:38",1148,1146,0,2,0,518,516,0,2,0,505,13,1340,822,226,152,17,48,62
