precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"COC DOINA-PARTIDUL SOCIAL DEMOCRAT-voturi","SZABO DRAGOŞ-ANDREI-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BARTA LÁSZLÓ-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi"
28,MUREŞ,"PRIMARIA BOGATA",286,BOGATA,115824,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:47:38",1301,1240,5,15,41,811,754,1,15,41,792,19,1391,561,479,32,281
28,MUREŞ,"ŞCOALA PRIMARĂ",287,BOGATA,115824,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:16:22",246,225,0,15,6,171,150,0,15,6,166,5,260,89,126,9,31
