precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MUNCACIU SORIN-TITUS-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MOCANU ADRIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","ROMAŞCANU LUCIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","PĂDUROIU VIOREL-MIRCEA-PARTIDUL S.O.S. ROMÂNIA-voturi","BĂDULESCU DORIN-VALERIU-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
10,BUZĂU,"ANEXĂ IMOBIL-PRIMĂRIA COMUNEI CALVINI",177,CALVINI,45753,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:30:30",846,786,0,25,35,562,502,0,25,35,429,29,860,402,20,6,359,13,31
10,BUZĂU,"CĂMIN CULTURAL",122,"ORAŞ PĂTÂRLAGELE",48325,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:57:00",696,692,0,4,0,447,443,0,4,0,430,17,768,321,67,96,234,15,18
10,BUZĂU,"CĂMIN CULTURAL",124,"ORAŞ PĂTÂRLAGELE",48325,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:58:51",187,181,0,6,0,122,116,0,6,0,119,3,199,77,13,31,65,0,10
10,BUZĂU,"CĂMIN CULTURAL",327,RÂMNICELU,48968,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 22:08:28",1057,1045,0,12,0,768,756,0,12,0,646,122,1140,372,101,171,316,38,20
10,BUZĂU,"CÃMIN CULTURAL",387,ŢINTEŞTI,49849,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 11:50:08",1802,1781,2,1,18,1170,1151,0,1,18,1131,39,1972,802,31,122,601,29,348
10,BUZĂU,"CĂMIN CULTURAL BĂDÂRLEGI",105,"ORAŞ NEHOIU",47916,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:36:54",99,87,0,7,5,76,64,0,7,5,73,3,100,24,6,3,59,2,3
10,BUZĂU,"CAMIN CULTURAL BALTENI",182,"C.A. ROSETTI",45815,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:31:35",353,346,0,7,0,242,235,0,7,0,223,19,380,138,12,20,182,6,3
10,BUZĂU,"CĂMIN CULTURAL BÎSCA ROZILEI",109,"ORAŞ NEHOIU",47916,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:50:11",536,521,0,7,8,334,319,0,7,8,322,12,590,256,34,27,212,20,29
10,BUZĂU,"CĂMIN CULTURAL CĂNEŞTI",187,CĂNEŞTI,45888,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:59:31",410,360,0,18,32,314,264,0,18,32,304,10,427,113,14,25,230,10,25
10,BUZĂU,"CĂMIN CULTURAL CU BIBLIOTECĂ",236,GHERĂSENI,46803,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:55:21",1437,1411,0,4,22,881,855,0,4,22,842,39,1607,726,70,83,583,35,71
10,BUZĂU,"CĂMIN CULTURAL CURMĂTURA",112,"ORAŞ NEHOIU",47916,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-09 23:36:24",123,103,1,7,12,92,73,0,7,12,90,2,130,38,8,0,75,3,4
10,BUZĂU,"CĂMIN CULTURAL JOSENI",148,BERCA,45101,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:14:21",698,683,0,7,8,392,377,0,7,8,377,15,763,371,35,31,254,16,41
10,BUZĂU,"CĂMIN CULTURAL MLĂJET",115,"ORAŞ NEHOIU",47916,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:48:10",686,667,0,9,10,442,424,0,9,9,421,21,750,308,63,39,263,26,30
10,BUZĂU,"CĂMIN CULTURAL PĂLTINENI",116,"ORAŞ NEHOIU",47916,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:41:52",630,610,0,6,14,407,387,0,6,14,392,15,700,293,37,23,279,13,40
10,BUZĂU,"CĂMIN CULTURAL PÎCLE",149,BERCA,45101,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-09 23:50:18",118,110,0,8,0,57,49,0,8,0,55,2,121,62,13,5,19,1,17
10,BUZĂU,"CĂMIN CULTURAL TĂBĂRĂȘTI",234,GĂLBINAŞI,46769,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:30:16",647,628,0,7,12,416,397,0,7,12,402,14,725,309,23,19,308,25,27
10,BUZĂU,"CĂMIN CULTURAL VALEA NEHOIULUI",107,"ORAŞ NEHOIU",47916,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:56:16",772,752,1,5,14,480,461,0,5,14,465,15,850,370,27,19,369,7,43
10,BUZĂU,"CĂMIN CULTURAL VINETIS",117,"ORAŞ NEHOIU",47916,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:34:00",117,112,0,4,1,82,77,0,4,1,79,3,130,48,3,3,65,2,6
10,BUZĂU,"CĂMINUL CULTURAL",134,AMARU,44863,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:07:30",193,184,0,7,2,132,123,0,7,2,118,14,208,76,11,36,60,8,3
10,BUZĂU,"CĂMINUL CULTURAL",133,AMARU,44863,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:06:33",408,393,0,7,8,252,237,0,7,8,243,9,428,176,17,64,145,14,3
10,BUZĂU,"CAMINUL CULTURAL BAILE",138,"BALTA ALBĂ",44934,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:49:50",380,322,0,42,16,302,244,0,42,16,292,10,374,72,14,81,166,15,16
10,BUZĂU,"CĂMINUL CULTURAL BENTU",233,GĂLBINAŞI,46769,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:42:39",786,775,0,8,3,470,459,0,8,3,456,14,810,340,27,31,324,31,43
10,BUZĂU,"CĂMINUL CULTURAL BÎLHACU",183,"C.A. ROSETTI",45815,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:45:40",155,153,0,2,0,85,83,0,2,0,84,1,168,83,6,32,43,0,3
10,BUZĂU,"CĂMINUL CULTURAL BLĂJANI",159,BLĂJANI,45334,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:59:09",576,518,1,30,27,431,373,1,30,27,407,24,602,171,19,60,317,5,6
10,BUZĂU,"CĂMINUL CULTURAL BREAZA",171,BREAZA,45619,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:59:54",762,754,3,3,2,420,415,0,3,2,403,17,830,410,31,64,251,24,33
10,BUZĂU,"CAMINUL CULTURAL CHILIILE",198,CHILIILE,46108,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:37:19",212,186,0,3,23,163,137,0,3,23,163,0,240,77,3,13,143,2,2
10,BUZĂU,"CĂMINUL CULTURAL ”DIMITRIE GUSTI”",336,RUŞEŢU,49046,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:19:04",900,871,0,21,8,616,587,0,21,8,567,49,863,247,46,158,248,30,85
10,BUZĂU,"CĂMINUL CULTURAL DIN SATUL ALDENI",195,CERNĂTEŞTI,46019,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:39:40",672,649,1,6,16,419,397,0,6,16,410,7,700,276,26,17,319,21,27
