precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL VERDE-voturi"
6,BISTRIŢA-NĂSĂUD,"PRIMĂRIA COMUNEI ŞANŢ",250,ŞANŢ,34618,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:17:35",1293,1257,0,12,24,993,957,0,12,24,958,35,1400,407,93,404,226,58,45,54,78
6,BISTRIŢA-NĂSĂUD,"ȘCOALA GIMNAZIALĂ ”ENEA GRAPINI” ŞANŢ",251,ŞANŢ,34618,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:17:36",1121,1098,0,4,19,825,802,0,4,19,806,19,1200,375,61,348,236,43,35,32,51
6,BISTRIŢA-NĂSĂUD,"ŞCOALA PRIMARĂ ”LUCIAN VALEA”",252,ŞANŢ,34618,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:03:12",272,262,0,9,1,217,207,0,9,1,208,9,300,83,10,58,66,17,28,15,14
